concave,1,2,convex,4,5,linear,7,8
3,3310,99.16666667,2,6372,2141.5,2,2623,4325
2,3108,99.16666667,4,6443,2141.5,3,2522,4511.5
1,2877,99.16666667,2,6557,4274,2,2575,4511.5
3,2755,99.16666667,3,6778,4274,1,2608,4596.5
2,2754,99.16666667,1,6977,8762,2,2578,4596.5
1,2879,99.16666667,1,7194,4179,1,2545,4714.5
3,2956,99.16666667,2,4681,4797,2,2696,4714.5
5,3170,99.16666667,1,5328,2050.333333,1,2759,4705.5
6,3472,99.16666667,1,3512,2050.333333,1,2924,4705.5
3,3892,99.16666667,4,3827,2050.333333,1,2942,3121.333333
2,4284,99.16666667,2,4120,1678.5,1,2888,3121.333333
4,4499,99.16666667,1,4649,1678.5,2,2989,3121.333333
3,4872,157.1111111,1,5187,1678.5,4,3118,1503
4,5046,157.1111111,3,5598,1678.5,3,3341,1613
4,5188,157.1111111,2,6055,1415.6,3,3450,1802
4,5278,157.1111111,3,6385,1415.6,2,3587,1055.5
3,5383,157.1111111,5,6759,1415.6,3,3837,1055.5
3,5648,157.1111111,2,7043,1415.6,2,3983,590.5
3,5950,157.1111111,4,7428,1415.6,3,4135,590.5
2,6061,157.1111111,3,7686,1809.5,1,4263,590.5
2,6210,157.1111111,1,7701,1809.5,2,4466,590.5
3,6231,296,2,7780,1809.5,1,4686,842.6666667
2,6156,296,1,7751,1809.5,1,4993,842.6666667
2,6030,296,2,7733,7290,2,5351,842.6666667
2,5901,296,3,7762,7793,3,5517,884
3,5720,296,1,7594,8114,3,5559,884
1,5288,296,2,7376,2763.333333,2,5734,884
1,4411,445,3,7307,2763.333333,4,5737,691.75
1,4099,445,2,7186,2763.333333,4,5792,691.75
1,3389,445,2,7290,4372,2,6013,691.75
1,3141,445,2,7393,4372,5,6432,691.75
1,2283,445,2,5439,4500,5,6938,711
1,1873,712.25,2,5282,4500,4,7377,711
1,1868,712.25,1,5257,9435,6,7859,711
4,2003,712.25,1,5484,4821.5,9,8315,711
5,2204,712.25,1,5620,4821.5,4,8670,951.6666667
7,2408,1699.5,2,5519,9800,3,8757,951.6666667
5,2777,1699.5,1,5172,10133,2,8750,951.6666667
8,3110,1005.25,1,4892,4534,3,8693,979.6666667
5,3478,1005.25,1,4532,4534,1,8475,979.6666667
7,3810,1005.25,1,4585,8822,1,3027,979.6666667
5,3955,1005.25,1,4595,4305.5,1,3465,795
3,3965,1166,1,4694,4305.5,4,3739,872
3,4117,1166,1,4654,8336,2,3811,243
1,4189,1166,1,5058,8375,2,3951,243
1,3088,1166,1,5547,4181.5,2,4047,243
4,2798,1285.5,1,5984,4181.5,1,4171,243
5,2606,1285.5,2,6208,8124,2,1637,245.2
3,2663,1285.5,1,6337,3526.5,2,1859,245.2
4,2736,1285.5,2,6599,3526.5,3,2027,245.2
2,2909,703,5,6721,3472,4,2175,245.2
5,3060,703,2,6609,3472,4,2348,245.2
4,3215,703,1,6361,3516.5,4,2446,359
4,3531,703,2,5406,3516.5,1,2599,359
3,3925,703,2,5662,3448,2,2740,359
1,4408,703,1,6537,3448,1,2926,359
2,4682,703,1,6921,3524,2,2933,250
2,5112,703,1,7082,3524,2,3067,250
4,5499,1188.4,1,7313,7085,3,3054,250
1,5851,1188.4,1,7234,7218,2,3094,250
4,6245,1188.4,1,7710,3645.5,2,3091,250
4,6413,1188.4,2,8022,3645.5,2,3030,250
2,6552,1188.4,1,7835,7650,1,2944,250
2,6819,3197,1,7596,3815,1,2872,699.6666667
1,6671,3197,2,3685,3815,2,2872,699.6666667
1,6669,3409.5,2,3792,7613,3,2895,699.6666667
1,6410,3409.5,3,3912,7733,4,2977,764.6666667
1,5591,7143,4,4354,4117,5,3063,764.6666667
1,2888,1904,4,4941,4117,2,3309,764.6666667
2,2765,1904,2,5730,2842.333333,4,3870,1260
3,2629,1904,4,6694,2842.333333,1,4412,1260
3,2499,1904,3,7272,2842.333333,3,5084,2760
1,2485,7989,3,7580,2169.75,3,5393,1006.333333
1,2373,2046.75,1,8107,2169.75,4,5902,1006.333333
1,842,2046.75,3,8002,2169.75,4,6114,1006.333333
2,996,2046.75,1,9177,2169.75,5,6394,1097.666667
4,1024,2046.75,1,8972,2980.333333,3,6767,1097.666667
2,1214,2049,4,4067,2980.333333,3,7079,1097.666667
4,1279,2049,2,4274,2980.333333,7,7489,888
2,1388,2049,1,4543,4721.5,3,7919,888
2,1384,2049,4,4894,4721.5,4,8280,888
1,1401,2733,2,5435,5633,5,8705,888
2,1393,2733,2,6078,6183,4,8975,948
3,1377,2733,4,6715,4742,5,9330,948
3,1440,8460,4,7473,2402.333333,4,9414,948
2,1425,8547,2,8129,2402.333333,4,9423,948
1,1209,123,3,8467,2402.333333,1,9060,1010
1,1280,159,3,9217,7865,1,8603,1010
2,1336,148,3,9248,4072,2,5949,1010
3,1390,135,2,9002,4072,1,5202,1010
3,1416,118,3,8831,2768,1,2508,1391
2,1462,70,2,8442,2768,1,2395,1391
1,1430,70,2,8349,2768,2,2486,1391
2,1374,371,3,8165,8391,2,2565,1075.25
1,1361,258.5,3,8074,3888,1,2853,1075.25
4,1383,258.5,3,7936,1922.5,1,3072,1075.25
3,1381,320,1,4890,1922.5,1,3281,1075.25
3,1446,320,3,4921,3514,1,3628,1113
3,1539,187.25,3,5141,2753,1,3891,1113
5,1629,187.25,4,5346,3073,3,4343,1113
1,1726,187.25,5,5716,872.25,2,4830,1113
3,1786,187.25,4,6184,872.25,3,5137,1505.333333
2,1786,290,5,6807,872.25,4,5493,1505.333333
1,1734,290,5,7617,872.25,3,5687,1505.333333
1,1713,290,6,8443,1915,2,5908,2379
1,349,941,4,9031,1915,3,5953,2379
4,550,512,3,9524,4136,4,6137,2444.5
5,826,512,1,9800,2242,3,6196,2444.5
8,1164,205,1,4397,2242,2,6257,1676.333333
4,1560,205,1,4392,1234.5,2,6134,1676.333333
5,1915,205,1,4702,1234.5,1,6107,1676.333333
5,2358,205,2,4902,1234.5,1,6071,1244.5
3,2765,205,4,5121,1234.5,1,5836,1244.5
4,3331,205,3,5070,1751.333333,1,4984,1244.5
3,3759,481.6666667,2,5113,1751.333333,2,5146,1244.5
4,4152,481.6666667,2,5359,1751.333333,2,5145,1642
3,4415,481.6666667,2,5546,1785,4,5229,1642
3,4720,545.6666667,3,6115,1785,3,5116,1642
2,5245,545.6666667,6,6811,1785,3,5099,1172
1,5729,545.6666667,5,7424,1854.666667,2,5139,1172
2,6251,369.4,5,8106,1854.666667,3,5510,1172
2,6556,369.4,4,8503,1854.666667,3,5780,1172
3,6982,369.4,4,9084,5711,2,5978,1458.333333
3,7217,369.4,3,9882,5939,1,6311,1458.333333
4,7508,369.4,6,10502,5880,1,6691,1458.333333
3,7543,981,2,11540,2907,4,7018,1403
2,7516,981,3,11926,2907,4,7474,1403
2,7572,421,3,12227,5464,4,7624,1403
2,7310,421,4,12604,5372,2,8087,1378.666667
1,7347,421,2,12882,5432,2,8444,1378.666667
1,3772,421,1,12753,5547,1,8807,1378.666667
1,3589,421,1,11593,2719,2,8970,2011
1,3196,747,1,5304,2719,1,9034,2011
1,2974,747,1,3890,1789,1,8764,2028
1,2893,747,1,3802,1789,1,8785,2028
2,2812,577.5,3,4033,1789,1,8764,1372.333333
1,2739,577.5,1,4563,2721.5,1,8783,1372.333333
4,2283,577.5,3,5010,2721.5,1,3966,1372.333333
4,2343,577.5,2,5475,2756,2,4252,2062
6,2320,593.5,2,5857,2756,2,4303,2062
4,2476,593.5,2,6086,1865.333333,1,4409,4314
4,2598,593.5,1,6441,1865.333333,1,2015,2241
3,2724,593.5,1,6797,1865.333333,1,1965,2241
8,2952,792.6666667,1,7407,2791,1,2107,4699
6,3217,792.6666667,1,7752,2791,2,2338,5146
6,3449,792.6666667,1,7850,5513,1,2740,5547
5,3694,2383,3,6709,6001,3,3205,5673
4,4012,977,2,6482,6220,1,3863,5796
2,4330,977,1,6407,6121,4,4514,2872.5
2,4648,911,1,6698,2283.5,5,4954,2872.5
1,5121,911,1,7149,2283.5,5,5460,1932.333333
5,5131,1678,3,7040,1510.333333,3,5776,1932.333333
6,5020,1601,3,6816,1510.333333,3,5818,1932.333333
3,5070,1648,3,6824,1510.333333,1,3966,2996
4,5160,850,1,6777,4567,1,3272,2996
3,5330,850,1,5322,2337.5,1,3274,3182.5
5,5486,1625,1,5639,2337.5,1,3166,3182.5
6,5604,1651,1,6624,1574.333333,1,3005,3239
3,5904,870.5,1,6833,1574.333333,2,2985,3239
4,6124,870.5,1,6685,1574.333333,3,2904,6579
2,6276,1794,1,6481,1571,2,2924,1690.25
2,6270,918,1,6560,1571,1,3769,1690.25
1,6265,918,1,6543,1571,1,3790,1690.25
1,6126,591,1,6473,1205.5,2,3865,1690.25
1,2569,591,1,5751,1205.5,2,3794,3464.5
1,2183,591,1,5428,1205.5,5,3820,3464.5
2,1599,1628,1,5478,1205.5,2,3673,3643
1,1461,760,1,5583,2417,1,3312,3643
1,1389,306,2,5697,2417,2,3088,1088.285714
3,1362,306,1,5651,2548,1,3055,1088.285714
3,1325,560,1,5617,2548,2,3161,1088.285714
3,1361,193,1,5455,1839.333333,4,3113,1088.285714
3,1393,193,1,4056,1839.333333,3,3197,1088.285714
3,1347,193,1,3934,1839.333333,4,3302,1088.285714
4,1359,331,2,4527,954.6666667,3,3423,1088.285714
3,1332,331,1,4681,954.6666667,5,3615,1573
3,1401,233.25,1,5588,954.6666667,5,3698,1573
2,1427,233.25,1,6229,954.6666667,4,3736,1573
3,1454,233.25,1,6614,954.6666667,5,4156,1573
4,1421,233.25,3,6622,954.6666667,2,4557,1573
2,1554,333.25,1,6559,2012.666667,5,4857,1609.6
4,1703,333.25,1,6666,2012.666667,3,5085,1609.6
6,1977,333.25,1,6583,2012.666667,1,3613,1609.6
4,2278,333.25,2,6239,2151,4,3451,1609.6
3,2566,310.6666667,1,5940,2151,5,3406,1609.6
4,2870,310.6666667,2,5758,2151,4,3501,7924
5,3085,310.6666667,1,7600,1696.75,3,3487,8067
4,3268,310.6666667,1,7874,1696.75,5,3519,2701.333333
2,3447,310.6666667,1,4821,1696.75,4,3525,2701.333333
4,3680,310.6666667,2,6035,1696.75,6,3545,2701.333333
5,3889,480.2,3,6215,3551.5,4,3648,2688.333333
3,4178,480.2,2,6463,3551.5,5,3842,2688.333333
1,4396,480.2,2,6699,7372,4,3980,2688.333333
3,4480,480.2,1,6836,2482,5,3927,3943.5
3,4792,480.2,4,6921,2482,4,4012,3943.5
2,5091,1499.5,4,7064,2482,4,3872,3950
2,5280,1499.5,6,7176,2528,2,3663,3950
1,5499,1215,8,7627,2528,1,3580,3129
3,5778,1215,6,8127,2528,1,3549,772.5
6,5958,1215,6,8630,7679,2,3507,772.5
7,6403,759.6666667,8,8949,2664.333333,2,3382,772.5
4,6715,759.6666667,7,9050,2664.333333,1,3328,772.5
1,6837,759.6666667,7,9082,2664.333333,3,3368,3810
1,6445,759.6666667,5,9217,2673.666667,2,3586,2040
1,6409,759.6666667,5,9306,2673.666667,2,3712,2040
1,6300,759.6666667,5,9453,2673.666667,1,3758,1897.666667
1,5953,1359.75,1,9817,8335,2,3657,1897.666667
2,5762,1359.75,1,9821,4333,3,3645,1897.666667
2,5634,1359.75,1,9814,4333,3,3520,2940
3,5397,1359.75,2,10197,4435.5,3,3459,2940
3,5145,895.8571429,3,10324,4435.5,3,3495,6142
2,5139,895.8571429,2,10703,8936,2,3423,6355
4,4957,895.8571429,3,11045,4535,2,3560,3123
2,4870,895.8571429,3,11120,4535,2,3871,1586.5
3,4856,895.8571429,4,11080,2323.75,2,4682,1586.5
1,3393,895.8571429,4,11153,2323.75,3,4833,1075.333333
1,3027,895.8571429,3,11197,2323.75,1,5063,1075.333333
1,2822,1487.2,4,11208,2323.75,1,5171,1075.333333
1,2574,1487.2,3,11298,3194.666667,1,5452,1101
2,2344,1487.2,3,11406,3194.666667,1,5604,1101
2,2338,1487.2,1,11631,3194.666667,1,3600,1101
2,2393,1487.2,2,11266,2423.75,1,3494,3388
2,2580,1688.2,1,10537,2423.75,3,3587,1766
2,2747,1688.2,1,7253,2423.75,4,3654,1766
2,3044,1688.2,2,7210,2423.75,4,3787,4588
3,3335,1688.2,1,7693,9911,3,3994,2554.5
4,3598,1688.2,1,6067,9658,1,4150,2554.5
3,3800,1581,2,6204,9359,4,4239,2356
2,3963,1581,2,6311,9151,3,4642,2356
5,4252,1581,2,6538,4734,2,4792,2253.5
3,4658,1581,2,6813,2307.5,3,4921,2253.5
5,5309,1581,2,7029,2307.5,3,4980,4000
3,5971,1581,3,7187,2253,1,5050,3788
4,6505,1165.111111,4,6980,2253,3,5260,3700
3,6807,1165.111111,2,6822,2167,1,5621,1779.5
5,7091,1165.111111,2,6729,2167,3,5890,1779.5
4,7411,1165.111111,1,3402,1439,2,6024,3452
1,7539,1165.111111,1,3287,1439,2,6072,1184.333333
3,7596,1165.111111,1,3246,1439,1,2587,1184.333333
2,7466,1165.111111,1,3820,2185.5,1,2476,1184.333333
3,7270,1165.111111,1,4101,2185.5,2,2592,1803
1,7003,1165.111111,2,4246,1186,4,2696,1803
2,2171,1432.875,3,4524,1186,6,2872,1260
1,2281,1432.875,4,4930,1186,5,3068,1260
3,2406,1432.875,2,5558,1186,4,3266,1260
3,2631,1432.875,5,6196,5360,2,3546,2007.5
3,2967,1432.875,6,6789,1179.8,4,3827,2007.5
2,3297,1432.875,5,7342,1179.8,2,4432,4998
4,3737,1432.875,3,7633,1179.8,3,5199,5303
3,4169,1432.875,3,7477,1179.8,1,6017,2824
3,4747,1729.428571,1,6990,1179.8,3,6752,2824
3,5032,1729.428571,1,3261,1021.5,2,7270,5888
3,5472,1729.428571,2,3421,1021.5,2,7572,6037
2,5821,1729.428571,8,3744,1021.5,1,7810,6129
2,6113,1729.428571,7,4093,1021.5,2,8036,6178
1,6325,1729.428571,6,4365,1021.5,2,8386,2869.5
1,6391,1729.428571,4,4870,1021.5,3,8710,2869.5
1,6481,2137.333333,6,5316,2104.333333,4,9073,5099
1,6385,2137.333333,3,5685,2104.333333,4,9175,2460.5
1,4126,2137.333333,1,5955,2104.333333,4,9316,2460.5
1,3950,2137.333333,2,6368,3230,2,9289,1085
1,3752,2137.333333,2,6974,3230,2,9593,1145
1,3509,2137.333333,5,7572,6713,1,9717,1220
1,3201,2644.8,1,8029,7061,2,9627,1304
1,1883,2644.8,3,8480,7756,2,5069,451.6666667
2,1020,2644.8,3,8842,8002,2,4802,451.6666667
4,1139,2644.8,2,9228,7847,1,2899,451.6666667
3,1260,2644.8,3,9335,2896,1,3008,491.6666667
6,1432,6818,2,9325,3083,1,3125,491.6666667
4,1551,6818,1,9192,3797,3,3175,491.6666667
2,1685,13785,1,8912,4185,2,3414,535.6666667
4,1882,6788.5,4,3355,2329.5,1,3771,535.6666667
3,2088,6788.5,2,3518,2329.5,2,3833,535.6666667
3,2368,4141,2,3814,1742,5,3766,446.25
3,2667,3829,5,4195,1742,4,3743,446.25
2,2801,3599,7,4903,1742,1,3778,446.25
4,2954,3322,4,5858,1945,2,3747,446.25
3,2996,1541.5,2,6667,1945,3,3828,338.1666667
5,3126,1541.5,2,7905,1945,2,4082,338.1666667
3,3345,2356,4,9313,6297,2,4479,338.1666667
5,3556,2104,5,11088,6842,3,4808,338.1666667
3,3774,1931,6,12635,2401.666667,3,5546,338.1666667
4,3786,1911,4,13714,2401.666667,3,6136,338.1666667
1,3852,1879,4,14599,2401.666667,2,6886,751.3333333
4,3646,1894,2,14729,1996.5,6,7681,751.3333333
1,3396,971,3,15061,1996.5,3,8115,751.3333333
2,3322,971,2,15037,1996.5,4,8567,1205.5
2,3301,2144,2,4153,1996.5,4,8753,1205.5
2,3353,2184,2,4207,2163.75,3,8796,685.75
4,3306,710.3333333,2,4440,2163.75,3,8982,685.75
3,3163,710.3333333,2,5014,2163.75,2,9321,685.75
1,3056,710.3333333,1,5573,2163.75,1,9169,685.75
2,3028,1077.5,2,6285,2269.25,2,9153,758
2,3013,1077.5,1,7504,2269.25,2,8854,758
3,3056,2105,1,8231,2269.25,1,8874,758
4,2984,2017,1,5927,2269.25,2,9128,758
4,2928,1900,2,6244,3063.666667,1,9172,1650
4,2883,955,1,6321,3063.666667,2,9349,1650
5,2792,955,1,6008,3063.666667,3,9376,1903.5
3,2730,646.3333333,1,6226,2314.75,1,9528,1903.5
4,2709,646.3333333,1,6636,2314.75,3,9596,2012.5
1,2723,646.3333333,2,4364,2314.75,1,9838,2012.5
2,2737,669.6666667,1,4384,2314.75,2,9804,1458.333333
1,2679,669.6666667,1,4601,1857.6,4,9899,1458.333333
1,2779,669.6666667,1,5047,1857.6,1,9838,1458.333333
2,2648,512.5,3,5368,1857.6,2,9802,1545
2,2539,512.5,1,5846,1857.6,2,9876,1545
1,2537,512.5,1,5924,1857.6,2,9548,1545
2,2574,512.5,1,6588,3200.666667,1,9457,5154
2,2590,712.6666667,2,6913,3200.666667,1,9032,1847.666667
4,2780,712.6666667,2,7165,3200.666667,1,6000,1847.666667
2,2811,712.6666667,1,7442,1613.333333,1,5841,1847.666667
1,2691,431.4,1,7584,1613.333333,1,5540,5935
1,1933,431.4,1,5808,1613.333333,1,5566,2165.333333
1,1525,431.4,2,2129,1613.333333,2,5573,2165.333333
1,1382,431.4,2,2367,1613.333333,1,5573,2165.333333
1,1200,431.4,3,2795,1613.333333,1,5456,3339.5
1,1157,1180,3,3150,1937.4,1,5269,3339.5
1,1235,1180,2,3466,1937.4,1,5113,7128
1,1339,648.25,7,4023,1937.4,2,4908,2461
2,1517,648.25,7,4846,1937.4,2,4624,2461
4,1558,648.25,9,5889,1937.4,1,4833,2461
3,1784,648.25,5,6902,4765.5,1,4961,2532.333333
4,1967,691.75,5,8157,4765.5,1,5177,2532.333333
5,2045,691.75,6,9445,4392,2,2213,2532.333333
3,2091,691.75,3,10542,4392,2,2318,3866
3,2128,691.75,2,11196,8617,3,2406,3866
2,770,536.1666667,4,11895,4320.5,2,2483,3851
3,819,536.1666667,4,12827,4320.5,2,2743,3851
2,842,536.1666667,3,13492,4070,4,2902,3769.5
2,898,536.1666667,4,14047,4070,3,3168,3769.5
1,984,536.1666667,4,14356,8093,6,3365,7493
1,1041,536.1666667,3,14231,7773,4,3661,3646
1,1081,746.6,3,14375,7544,4,3894,3646
1,1085,746.6,2,14269,7069,8,4200,3565.5
1,1040,746.6,2,13831,6825,5,4421,3565.5
4,1019,746.6,1,13281,6647,6,4521,6884
3,1047,746.6,1,1493,3119,6,4489,3301.5
1,1092,857.2,1,1722,3119,5,4616,3301.5
2,1115,857.2,1,2060,5961,6,4618,6214
2,1166,857.2,2,2549,2402,1,4607,3822
1,392,857.2,3,3067,2534,2,4697,1653
2,487,857.2,2,3670,2628,4,4625,1653
3,605,676.1428571,3,2841,1358,4,4764,3251
4,728,676.1428571,2,2689,1358,5,5024,1058
3,887,676.1428571,2,2709,712.25,3,5391,1058
3,1025,676.1428571,3,2794,712.25,4,5860,1058
2,1188,676.1428571,3,2850,712.25,2,6167,1554
3,1329,676.1428571,2,2926,712.25,2,6324,1554
1,1431,676.1428571,3,2933,760.5,3,6539,797.5
3,1501,1046.8,2,2969,760.5,1,6813,797.5
2,1550,1046.8,1,3131,760.5,1,7108,797.5
2,1624,1046.8,2,3173,760.5,3,7405,797.5
1,1642,1046.8,1,5320,1101,4,7513,1145.666667
4,1620,1046.8,4,5474,1101,1,7722,1145.666667
4,1604,788.8571429,1,5801,1101,1,7957,1145.666667
3,1590,788.8571429,3,6200,1626,1,8084,1179.666667
4,1620,788.8571429,3,6388,1626,1,8200,1179.666667
2,1594,788.8571429,1,6571,3122,1,7943,1179.666667
2,1599,788.8571429,1,7049,1061.333333,1,7428,922.5
1,1642,788.8571429,1,1767,1061.333333,1,3841,922.5
2,1655,788.8571429,1,1820,1061.333333,3,3931,922.5
3,1653,2994,1,1800,1718,3,4142,922.5
3,1598,2994,1,1735,1718,3,4533,1258
5,1527,6388,1,908,1255.333333,3,4759,1258
2,1502,6483,1,1005,1255.333333,5,5027,1258
3,1476,6761,1,1145,1255.333333,4,5143,1971.5
1,1491,2286,1,1129,4284,1,5048,1971.5
2,1560,2286,1,1127,1560.666667,1,1364,4204
2,1600,2286,2,1220,1560.666667,1,1285,1481
3,1739,1538,2,1343,1560.666667,2,1332,1481
2,1836,590.5,2,1463,1275.5,4,1436,1481
2,1920,590.5,2,1623,1275.5,5,1603,2353.5
5,2034,1227,1,1828,1275.5,6,1889,2353.5
4,2283,464,1,1982,1275.5,4,2200,4978
4,2514,464,1,2107,1975,3,2478,1698.666667
3,2507,464,2,1823,1975,4,2566,1698.666667
2,2545,279.1666667,5,1806,1975,2,2813,1698.666667
3,2526,279.1666667,4,2086,1313,2,3015,5400
2,2520,279.1666667,4,2790,1313,2,3254,5582
1,2535,279.1666667,2,3621,1313,2,3527,5659
1,2546,279.1666667,3,4490,1313,1,3828,5732
1,2597,279.1666667,3,5080,1313,1,4160,1942.333333
2,2684,325.8333333,2,5607,2383.666667,1,4622,1942.333333
4,2872,325.8333333,3,6428,2383.666667,4,5083,1942.333333
3,2965,325.8333333,4,6976,2383.666667,4,5553,1957
3,3069,325.8333333,2,7597,2466.333333,1,6060,1957
1,3175,325.8333333,2,7998,2466.333333,1,6860,1957
2,3302,325.8333333,6,8367,2466.333333,1,7443,1995.333333
4,3491,385.1666667,5,8775,1894.25,1,8052,1995.333333
3,3560,385.1666667,5,8915,1894.25,2,8458,1995.333333
2,3654,385.1666667,4,9097,1894.25,1,8734,2070.333333
2,3710,385.1666667,4,9205,1894.25,1,9087,2070.333333
1,3680,385.1666667,3,9483,2558.666667,1,9305,2070.333333
1,3517,385.1666667,2,9549,2558.666667,1,9103,1532.25
1,3391,386.5714286,2,9609,2558.666667,2,9681,1532.25
2,1174,386.5714286,2,9576,2581,1,9894,1532.25
4,1400,386.5714286,3,9316,2581,1,10013,1532.25
9,1583,386.5714286,3,8977,2581,2,10546,2080.666667
10,1949,386.5714286,1,8610,2516.666667,1,10805,2080.666667
9,2302,386.5714286,1,8122,2516.666667,1,10971,2080.666667
8,2747,386.5714286,2,7954,2516.666667,1,11018,2045.333333
6,3237,381.875,2,7930,2433,1,11089,2045.333333
6,3703,381.875,1,7845,2433,3,11203,2045.333333
3,4211,381.875,2,7602,2433,1,444,2993.5
3,4766,381.875,2,7452,3552,1,547,2993.5
5,5412,381.875,2,7264,3552,2,749,2920.5
6,5884,381.875,1,7234,3504.5,4,1028,2920.5
6,6313,381.875,1,7208,3504.5,3,1470,2923
6,6801,381.875,3,7077,1454.4,3,1868,2923
4,7359,682,1,7057,1454.4,4,2200,5752
4,7729,682,1,7144,1454.4,6,2519,5948
5,8140,682,1,7601,1454.4,5,2852,3048
3,8316,682,1,7399,1454.4,6,3336,3048
1,8375,682,1,4051,2484.666667,3,3973,2941.5
1,8379,1223.666667,2,4158,2484.666667,4,4680,2941.5
1,7995,1223.666667,3,4480,2484.666667,4,5271,5917
1,7506,1223.666667,4,4615,1927,3,6053,5884
1,6996,802,3,4852,1927,4,6760,5850
1,2244,802,3,5150,1927,5,7216,2931.5
1,2256,802,3,5457,1927,1,8005,2931.5
2,2262,802,3,5706,1964.5,1,8687,5490
1,2356,802,2,5886,1964.5,2,9241,1744
1,2506,1103.75,1,5961,1964.5,2,9981,942
7,2594,1103.75,2,5897,1964.5,2,10674,942
6,2751,1103.75,2,5857,1966.75,4,11049,2077
6,2896,1103.75,1,5800,1966.75,2,11043,738.6666667
5,3003,2470.5,1,6358,1966.75,3,11010,738.6666667
4,3044,2470.5,2,6858,1966.75,2,11157,738.6666667
5,3162,5483,1,7231,2577,1,11090,795
4,3252,6135,1,7321,2577,2,11038,795
3,3455,3338,1,6352,2577,1,3273,795
8,3659,3338,3,5830,2502.666667,1,3317,1916
4,4033,3576.5,2,5609,2502.666667,4,3242,1813
3,4322,3576.5,3,5594,2502.666667,6,3222,1995
4,4614,7533,3,5871,7171,5,3338,810.3333333
5,4774,2614,1,6089,6936,7,3562,810.3333333
7,5012,2614,3,6328,2076,4,3899,810.3333333
4,5174,2614,3,6493,2076,5,4262,735.75
3,5492,8188,2,6688,4180,4,4798,735.75
4,5705,8307,1,6454,4295,2,5150,735.75
3,5871,8290,1,6374,4412,4,5548,735.75
1,5924,3135,1,6694,4502,2,5992,499.5714286
1,5660,1007.666667,3,6655,2417.5,1,6246,499.5714286
1,5409,1007.666667,1,6252,2417.5,1,6784,499.5714286
1,5188,1007.666667,1,6182,5240,1,6986,499.5714286
2,4953,990.3333333,1,6238,1868.333333,3,7418,499.5714286
1,4766,990.3333333,1,6045,1868.333333,2,7788,499.5714286
1,4533,990.3333333,2,5269,1868.333333,1,7967,499.5714286
1,4463,1414,1,5225,2076.666667,1,7860,572.2857143
1,4324,1414,2,5208,2076.666667,3,6900,572.2857143
1,4138,661,1,5235,2076.666667,3,5638,572.2857143
2,4093,661,2,5117,3399,3,5310,572.2857143
1,3921,661,2,5197,3399,2,4916,572.2857143
2,3722,661,1,5233,2354.333333,1,4661,572.2857143
1,3408,633.25,1,4605,2354.333333,3,4630,572.2857143
1,3156,633.25,1,2946,2354.333333,2,4749,619.5714286
2,2948,633.25,1,2928,2408,2,4855,619.5714286
1,2679,633.25,2,3006,2408,1,4849,619.5714286
2,1582,1249.5,5,3206,2408,2,4722,619.5714286
2,1434,1249.5,7,3510,2458,3,4508,619.5714286
1,1376,1280,1,4081,2458,3,4408,619.5714286
1,1466,1280,2,4704,2458,3,4225,619.5714286
3,1724,1315.5,6,5535,1809.75,3,4102,592.25
5,1957,1315.5,3,6152,1809.75,3,4087,592.25
5,2356,1311.5,4,6939,1809.75,3,3956,592.25
3,2677,1311.5,3,7627,1809.75,1,3776,592.25
6,2922,2570,1,8886,2439,1,3701,592.25
3,3425,2577,3,9076,2439,1,3645,592.25
2,3708,1230,1,9280,2439,1,3468,592.25
2,4280,1230,2,9318,2463.666667,1,3395,592.25
2,4932,599.25,1,5797,2463.666667,1,3263,773.5714286
3,5370,599.25,1,5943,2463.666667,1,3141,773.5714286
3,5469,599.25,1,3472,7328,1,2877,773.5714286
4,5613,599.25,1,3449,7281,1,2854,773.5714286
3,5772,799.3333333,1,3541,7121,2,2787,773.5714286
6,6072,799.3333333,1,3630,3597,1,2916,773.5714286
7,6232,799.3333333,2,4160,3597,4,3001,773.5714286
6,6307,791.6666667,1,5525,3722,2,3107,658.7777778
3,6486,791.6666667,3,6173,3722,3,3205,658.7777778
3,6606,791.6666667,1,6914,3736.5,4,3430,658.7777778
4,6907,809.6666667,4,7716,3736.5,2,3660,658.7777778
2,7242,809.6666667,3,8315,1469.6,5,3707,658.7777778
2,7319,809.6666667,2,8915,1469.6,1,3439,658.7777778
2,7345,624,2,9412,1469.6,1,3409,658.7777778
1,7140,624,1,2883,1469.6,2,3377,658.7777778
1,2953,624,3,3026,1469.6,5,3553,658.7777778
1,2846,624,1,3308,7426,2,3625,889.2857143
2,2756,1245,3,3633,7544,1,3701,889.2857143
4,2762,1245,2,3986,4226,1,3797,889.2857143
2,2837,1217,2,4391,4226,2,3977,889.2857143
3,2913,1217,2,4786,4226,4,4126,889.2857143
3,3032,805.6666667,3,5384,4226,3,4218,889.2857143
2,3254,805.6666667,3,5787,4194.5,2,4357,889.2857143
4,3497,805.6666667,2,6557,4194.5,1,4860,821.5
4,3804,1204.5,4,6986,8536,1,5126,821.5
5,4159,1204.5,3,7632,8670,2,5248,821.5
2,4490,2374,1,8105,1806,1,5310,821.5
3,4794,2377,1,8737,1001.5,1,5301,821.5
2,5131,2741,1,4824,1001.5,1,1434,821.5
2,5424,1005.333333,1,5511,584.25,1,1245,821.5
3,5589,1005.333333,2,6272,584.25,2,1264,821.5
3,5738,1005.333333,2,6699,584.25,2,1391,1345
