model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.81,1.5,concave,1,0.9,0.1,0,0,0,0.1,0,20.5,75.6,3189.32859
overlapping-generations fecundity,0.95,9,concave,1,0.65,0.35,0,0,0,0.25,0.1,57.14285714,87.7,2526.127469
overlapping-generations fecundity,0.89,6,concave,1,0.45,0.55,0,0,0,0.3,0.25,74.36363636,113.1,2404.630107
overlapping-generations fecundity,0.81,3.5,concave,0.95,0.25,0.7,0,0,0.05,0,0.7,188.7333333,253.45,2084.594451
overlapping-generations fecundity,0.87,8,concave,0.95,0.1,0.85,0.05,0,0,0.05,0.8,300.6111111,332,1514.761407
overlapping-generations fecundity,0.92,2.5,concave,0.95,0.95,0,0,0,0.05,0,0,26,116.25,684.3777778
overlapping-generations fecundity,0.86,8,concave,0.9,0.2,0.7,0.1,0,0,0.05,0.65,377.8125,365.95,1322.890128
overlapping-generations fecundity,0.8,1.5,concave,1,0.9,0.1,0,0,0,0.1,0,24.5,77.6,2277.28032
overlapping-generations fecundity,0.8,4,concave,0.95,0.15,0.8,0,0,0.05,0.05,0.75,244.2352941,296.95,1872.589371
overlapping-generations fecundity,0.88,2,concave,0.95,0.95,0,0,0,0.05,0,0,47,119,2076.089552
overlapping-generations fecundity,0.84,5.5,concave,0.95,0.15,0.8,0.05,0,0,0.1,0.7,285.6470588,305.75,1766.459323
overlapping-generations fecundity,0.92,9,concave,1,0.5,0.5,0,0,0,0,0.5,127.2,132.9,2057.988142
overlapping-generations fecundity,0.91,2.5,concave,0.9,0.9,0,0,0,0.1,0,0,25,165.1,1291.666667
overlapping-generations fecundity,0.87,2,concave,1,0.95,0.05,0,0,0,0,0.05,79,77.05,1879.149533
overlapping-generations fecundity,0.91,9,concave,1,0.3,0.7,0,0,0,0.15,0.55,120.6428571,150.75,1946.1124
overlapping-generations fecundity,0.88,2.5,concave,1,0.95,0.05,0,0,0,0.05,0,27,74.7,4210.45098
overlapping-generations fecundity,0.9,2.5,concave,1,1,0,0,0,0,0,0,nan,71.8,nan
overlapping-generations fecundity,0.89,2.5,concave,0.95,0.8,0.15,0,0,0.05,0.15,0,44.66666667,124.45,3101.484004
overlapping-generations fecundity,0.86,2,concave,0.95,0.95,0,0,0,0.05,0,0,nan,119.8,nan
overlapping-generations fecundity,0.85,2,concave,0.95,0.85,0.1,0,0,0.05,0.1,0,24.66666667,121.2,3930.054412
overlapping-generations fecundity,0.84,2,concave,0.95,0.8,0.15,0,0,0.05,0.15,0,26.25,122,3534.84049
overlapping-generations fecundity,0.89,6.5,concave,1,0.4,0.6,0,0,0,0.25,0.35,105.6666667,130.4,2745.391336
overlapping-generations fecundity,0.99,9.5,concave,1,1,0,0,0,0,0,0,nan,68.8,nan
overlapping-generations fecundity,0.99,10,concave,1,0.9,0.1,0,0,0,0.1,0,38.5,71.2,3072.640431
overlapping-generations fecundity,0.94,2.5,concave,1,0.95,0.05,0,0,0,0,0.05,120,75.15,6913.020134
overlapping-generations fecundity,0.87,2.5,concave,0.9,0.85,0.05,0,0,0.1,0.05,0,25.5,166.65,2655.991422
overlapping-generations fecundity,0.9,7,concave,1,0.35,0.65,0,0,0,0.05,0.6,165.4615385,174.2,1791.833312
overlapping-generations fecundity,1,10,concave,1,0.9,0.1,0,0,0,0,0.1,65,72.65,2682.631782
overlapping-generations fecundity,0.86,7.5,concave,0.95,0.15,0.8,0.05,0,0,0.05,0.75,360.1764706,369.7,1459.334474
overlapping-generations fecundity,0.83,2,concave,1,0.95,0.05,0,0,0,0.05,0,46,78.2,1697.847222
overlapping-generations fecundity,0.82,4.5,concave,1,0.1,0.9,0,0,0,0,0.9,302,335.55,1673.673767
overlapping-generations fecundity,0.98,10,concave,1,1,0,0,0,0,0,0,nan,70.45,nan
overlapping-generations fecundity,0.86,2.5,concave,0.95,0.9,0.05,0,0,0.05,0.05,0,32,122.85,3005.212389
overlapping-generations fecundity,0.86,6.5,concave,1,0.05,0.95,0,0,0,0.05,0.9,222.4736842,272.2,1559.147898
overlapping-generations fecundity,0.88,6.5,concave,1,0.4,0.6,0,0,0,0.05,0.55,135.5833333,150.25,2430.541061
overlapping-generations fecundity,0.87,6.5,concave,1,0.25,0.75,0,0,0,0.2,0.55,149.7333333,178.25,1904.527432
overlapping-generations fecundity,0.98,9.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,40,73.5,2924.367106
overlapping-generations fecundity,0.96,10,concave,1,0.95,0.05,0,0,0,0.05,0,24,73.75,3542.293103
overlapping-generations fecundity,0.88,6,concave,1,0.4,0.6,0,0,0,0.05,0.55,192.25,183.5,1828.636648
overlapping-generations fecundity,0.8,2,concave,0.95,0.75,0.2,0,0,0.05,0.1,0.1,64.5,136.45,1644.890457
overlapping-generations fecundity,0.82,2,concave,0.85,0.8,0.05,0,0,0.15,0.05,0,60,215.75,3088.538105
overlapping-generations fecundity,0.83,5,concave,0.95,0.2,0.75,0.05,0,0,0,0.75,313.0625,316.25,1777.105341
overlapping-generations fecundity,0.97,9.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,62.75,81.2,2221.915359
overlapping-generations fecundity,0.81,2,concave,0.9,0.8,0.1,0,0,0.1,0.1,0,28.75,172.25,2297.292628
overlapping-generations fecundity,0.83,2.5,concave,0.95,0.8,0.15,0,0,0.05,0.05,0.1,57,132.2,2601.260261
overlapping-generations fecundity,0.97,10,concave,1,0.65,0.35,0,0,0,0.15,0.2,73,91.4,2567.166566
overlapping-generations fecundity,0.84,2.5,concave,0.9,0.7,0.2,0,0,0.1,0.05,0.15,62.5,180.1,3098.041279
overlapping-generations fecundity,0.85,7.5,concave,0.9,0.2,0.7,0.1,0,0,0.1,0.6,422,402.1,1342.071095
overlapping-generations fecundity,0.81,5,concave,0.8,0.15,0.65,0.2,0,0,0,0.65,380.7647059,387.9,1419.208706
overlapping-generations fecundity,0.85,2.5,concave,0.7,0.5,0.2,0,0,0.3,0,0.2,80,371.25,2469.634413
overlapping-generations fecundity,0.96,9.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,96.5,89.3,1516.396037
overlapping-generations fecundity,0.93,10,concave,1,0.5,0.5,0,0,0,0.2,0.3,81.6,107.55,2307.716747
overlapping-generations fecundity,0.82,2.5,concave,0.9,0.8,0.1,0,0,0.1,0.05,0.05,47.25,176.75,3152.644789
overlapping-generations fecundity,0.95,9.5,concave,1,0.6,0.4,0,0,0,0.1,0.3,83.875,101.8,2274.597397
overlapping-generations fecundity,0.94,9.5,concave,1,0.55,0.45,0,0,0,0.15,0.3,95.88888889,111.65,2260.113136
overlapping-generations fecundity,0.81,2.5,concave,0.85,0.6,0.25,0,0,0.15,0.05,0.2,68.25,234.2,2747.58765
overlapping-generations fecundity,0.94,10,concave,1,0.55,0.45,0,0,0,0.1,0.35,100,113.5,2090.766827
overlapping-generations fecundity,0.86,6,concave,0.95,0.3,0.65,0,0,0.05,0.05,0.6,145,198.25,2656.812034
overlapping-generations fecundity,0.92,10,concave,1,0.55,0.45,0,0,0,0.2,0.25,74.44444444,103.1,2352.281593
overlapping-generations fecundity,0.82,3,concave,1,0.55,0.45,0,0,0,0.1,0.35,72.11111111,103.25,2992.629262
overlapping-generations fecundity,0.82,5,concave,1,0.05,0.95,0,0,0,0.05,0.9,380.5789474,422.2,1495.262438
overlapping-generations fecundity,0.8,2.5,concave,0.85,0.6,0.25,0,0,0.15,0.05,0.2,69,233.85,2972.276104
overlapping-generations fecundity,0.83,5.5,concave,0.85,0.2,0.65,0.15,0,0,0.05,0.6,408.3125,393.2,1607.880034
overlapping-generations fecundity,0.95,10,concave,1,0.7,0.3,0,0,0,0.05,0.25,128.1666667,107.4,2292.698731
overlapping-generations fecundity,0.86,7,concave,0.95,0.15,0.8,0.05,0,0,0.2,0.6,240.0588235,267.15,1506.914147
overlapping-generations fecundity,0.87,9,concave,0.95,0.05,0.9,0.05,0,0,0.1,0.8,389.5263158,430.35,1455.066184
overlapping-generations fecundity,0.87,7,concave,1,0.05,0.95,0,0,0,0.15,0.8,192.5263158,243.2,1885.956918
overlapping-generations fecundity,0.93,9.5,concave,1,0.45,0.55,0,0,0,0.15,0.4,84.54545455,114.05,2526.238338
overlapping-generations fecundity,0.86,8.5,concave,0.85,0.1,0.75,0.15,0,0,0.05,0.7,456.3333333,473.1,1339.931249
overlapping-generations fecundity,0.85,8,concave,0.9,0.1,0.8,0.1,0,0,0,0.8,485,498,1291.676519
overlapping-generations fecundity,0.89,7,concave,1,0.2,0.8,0,0,0,0.15,0.65,167.3125,196.85,2256.876742
overlapping-generations fecundity,0.88,7,concave,1,0.2,0.8,0,0,0,0.15,0.65,190.9375,216.85,2131.228236
overlapping-generations fecundity,0.81,4.5,concave,0.95,0.1,0.85,0.05,0,0,0,0.85,428.6111111,446.7,1624.881112
overlapping-generations fecundity,0.81,3,concave,0.9,0.55,0.35,0,0,0.1,0.2,0.15,92.22222222,195.2,2542.227988
overlapping-generations fecundity,0.91,9.5,concave,1,0.55,0.45,0,0,0,0.05,0.4,141.2222222,136.6,1937.469007
overlapping-generations fecundity,0.92,9.5,concave,1,0.55,0.45,0,0,0,0.1,0.35,97.77777778,113.1,2730.53443
overlapping-generations fecundity,0.9,9.5,concave,1,0.4,0.6,0,0,0,0.1,0.5,126.25,144.05,2080.166637
overlapping-generations fecundity,0.9,10,concave,1,0.4,0.6,0,0,0,0.2,0.4,134.75,149.1,1887.453196
overlapping-generations fecundity,0.84,6,concave,0.95,0.05,0.9,0,0,0.05,0.1,0.8,299.8421053,363.75,1474.369602
overlapping-generations fecundity,0.89,9.5,concave,1,0.2,0.8,0,0,0,0.1,0.7,155.1875,189.95,1927.111167
overlapping-generations fecundity,0.91,10,concave,1,0.3,0.7,0,0,0,0.15,0.55,163.5714286,179.7,1827.842562
overlapping-generations fecundity,0.8,3,concave,0.95,0.45,0.5,0,0,0.05,0.15,0.35,94.54545455,168.7,2906.143086
overlapping-generations fecundity,0.85,6.5,concave,1,0.1,0.9,0,0,0,0.05,0.85,372.1666667,396.5,1418.843337
overlapping-generations fecundity,0.85,6,concave,0.95,0.15,0.8,0,0,0.05,0.05,0.75,236.3529412,312.8,2073.595071
overlapping-generations fecundity,0.8,4.5,concave,0.75,0.1,0.65,0.25,0,0,0,0.65,518.5,528.05,1489.749684
overlapping-generations fecundity,0.83,6,concave,0.9,0.15,0.75,0.1,0,0,0.1,0.65,394.5294118,398.6,1390.136557
overlapping-generations fecundity,0.82,5.5,concave,0.85,0.05,0.8,0.15,0,0,0,0.8,518.2105263,551.3,1500.415298
overlapping-generations fecundity,0.86,9,concave,0.8,0.05,0.75,0.2,0,0,0,0.75,560.5263158,595.4,1265.126513
overlapping-generations fecundity,0.84,7.5,concave,0.7,0.05,0.65,0.3,0,0,0,0.65,587.7368421,618.45,1230.116497
overlapping-generations fecundity,0.85,8.5,concave,0.8,0.1,0.7,0.2,0,0,0,0.7,635.9444444,634.4,1211.792825
overlapping-generations fecundity,0.89,10,concave,1,0.25,0.75,0,0,0,0.1,0.65,234.1333333,241.75,1611.177213
overlapping-generations fecundity,0.85,9,concave,0.65,0.05,0.6,0.35,0,0,0,0.6,617.0526316,644.35,1256.094276
overlapping-generations fecundity,0.84,8.5,concave,0.4,0.15,0.25,0.6,0,0,0.05,0.2,735.4117647,684.05,1161.377296
overlapping-generations fecundity,0.88,9.5,concave,1,0.1,0.9,0,0,0,0.1,0.8,274.3888889,309.7,1456.500001
overlapping-generations fecundity,0.85,7,concave,0.75,0.1,0.65,0.25,0,0,0.1,0.55,454.8888889,471.85,1433.744462
overlapping-generations fecundity,0.84,6.5,concave,0.85,0.1,0.75,0.1,0,0.05,0.05,0.7,391.1111111,455.4,1541.433526
overlapping-generations fecundity,0.81,5.5,concave,0.7,0.1,0.6,0.3,0,0,0.05,0.55,605.6666667,606.3,1436.838694
overlapping-generations fecundity,0.84,7,concave,0.8,0.05,0.75,0.2,0,0,0.05,0.7,502.3157895,536.2,1272.75915
overlapping-generations fecundity,0.84,8,concave,0.5,0.05,0.45,0.5,0,0,0.1,0.35,670.2631579,693.35,1282.363471
overlapping-generations fecundity,0.83,7.5,concave,0.45,0,0.45,0.55,0,0,0,0.45,668.75,723.3,1302.345254
overlapping-generations fecundity,0.84,9,concave,0.5,0,0.5,0.5,0,0,0,0.5,670.3,725.05,1345.723082
overlapping-generations fecundity,0.88,10,concave,0.95,0.15,0.8,0.05,0,0,0.05,0.75,425.8235294,426.1,1318.43334
overlapping-generations fecundity,0.87,9.5,concave,0.8,0.15,0.65,0.2,0,0,0,0.65,435.1176471,432.9,1305.084675
overlapping-generations fecundity,0.8,5,concave,0.45,0,0.45,0.55,0,0,0,0.45,709,763.95,1409.722573
overlapping-generations fecundity,0.83,8,concave,0.3,0,0.3,0.7,0,0,0,0.3,763.8,817.4,1190.138313
overlapping-generations fecundity,0.82,6,concave,0.75,0,0.75,0.25,0,0,0.05,0.7,519.45,576.9,1388.143334
overlapping-generations fecundity,0.87,10,concave,0.95,0.1,0.85,0.05,0,0,0.05,0.8,403.7777778,425.9,1352.220947
overlapping-generations fecundity,0.8,5.5,concave,0.35,0,0.35,0.65,0,0,0,0.35,769.15,822.95,1313.633228
overlapping-generations fecundity,0.82,6.5,concave,0.55,0.05,0.5,0.45,0,0,0,0.5,623.4210526,649.4,1281.006219
overlapping-generations fecundity,0.85,9.5,concave,0.85,0.1,0.75,0.15,0,0,0,0.75,461.2777778,477.8,1348.608555
overlapping-generations fecundity,0.82,7.5,concave,0.4,0,0.4,0.6,0,0,0,0.4,790.1,845.05,1307.045526
overlapping-generations fecundity,0.83,6.5,concave,0.6,0,0.6,0.4,0,0,0,0.6,602.25,660,1364.519044
overlapping-generations fecundity,0.81,7.5,concave,0.2,0,0.2,0.8,0,0,0,0.2,834.95,888.75,1233.830637
overlapping-generations fecundity,0.83,7,concave,0.8,0,0.8,0.2,0,0,0,0.8,552.4,610.9,1461.374236
overlapping-generations fecundity,0.81,6,concave,0.55,0,0.55,0.45,0,0,0,0.55,609.6,665.35,1388.388194
overlapping-generations fecundity,0.82,8,concave,0.25,0,0.25,0.75,0,0,0,0.25,839.15,892.95,1241.734877
overlapping-generations fecundity,0.82,8.5,concave,0.15,0,0.15,0.85,0,0,0,0.15,896.45,949.1,1167.095117
overlapping-generations fecundity,0.86,9.5,concave,0.8,0.05,0.75,0.2,0,0,0,0.75,492.8947368,528.5,1347.423307
overlapping-generations fecundity,0.8,8,concave,0.1,0,0.1,0.9,0,0,0,0.1,866.85,919.2,1259.230866
overlapping-generations fecundity,0.83,8.5,concave,0.2,0,0.2,0.8,0,0,0,0.2,867.2,919.15,1312.655867
overlapping-generations fecundity,1,3.5,linear,1,1,0,0,0,0,0,0,nan,65.85,nan
overlapping-generations fecundity,0.82,9,concave,0.1,0,0.1,0.9,0,0,0,0.1,917.4,969.65,1188.54731
overlapping-generations fecundity,0.99,3.5,linear,0.95,0.95,0,0,0,0.05,0,0,28,113.65,3839.638298
overlapping-generations fecundity,0.97,3.5,linear,1,1,0,0,0,0,0,0,nan,68.85,nan
overlapping-generations fecundity,1,4,linear,1,1,0,0,0,0,0,0,nan,66.95,nan
overlapping-generations fecundity,0.96,3.5,linear,1,1,0,0,0,0,0,0,nan,69.2,nan
overlapping-generations fecundity,0.8,7.5,concave,0.1,0,0.1,0.9,0,0,0,0.1,897.8,950.2,1294.642072
overlapping-generations fecundity,0.98,3,linear,1,0.95,0.05,0,0,0,0.05,0,17,68.55,3027.452381
overlapping-generations fecundity,0.81,8.5,concave,0.05,0,0.05,0.95,0,0,0,0.05,911.05,962.15,1259.001283
overlapping-generations fecundity,0.95,3.5,linear,1,1,0,0,0,0,0,0,nan,70.8,nan
overlapping-generations fecundity,1,3,linear,1,0.95,0.05,0,0,0,0,0.05,61,67.75,2740.154762
overlapping-generations fecundity,0.98,3.5,linear,1,0.95,0.05,0,0,0,0.05,0,27,68.4,2259.634615
overlapping-generations fecundity,0.81,9,concave,0,0,0,1,0,0,0,0,950.45,nan,1185.257262
overlapping-generations fecundity,0.99,4,linear,1,1,0,0,0,0,0,0,nan,67.75,nan
overlapping-generations fecundity,0.81,8,concave,0.05,0,0.05,0.95,0,0,0,0.05,910.65,963.5,1231.997618
overlapping-generations fecundity,1,4.5,linear,1,1,0,0,0,0,0,0,nan,67.2,nan
overlapping-generations fecundity,0.97,3,linear,1,0.95,0.05,0,0,0,0.05,0,48,69.75,1312.743243
overlapping-generations fecundity,0.99,3,linear,1,0.95,0.05,0,0,0,0.05,0,41,68.45,2604.514286
overlapping-generations fecundity,1,5,linear,1,1,0,0,0,0,0,0,nan,68.05,nan
overlapping-generations fecundity,0.98,4,linear,1,0.95,0.05,0,0,0,0,0.05,75,72,1757.557692
overlapping-generations fecundity,0.96,3,linear,1,0.95,0.05,0,0,0,0.05,0,17,69.2,3422.166667
overlapping-generations fecundity,0.99,4.5,linear,1,1,0,0,0,0,0,0,nan,68.5,nan
overlapping-generations fecundity,0.83,9,concave,0,0,0,1,0,0,0,0,950.1,nan,1243.412288
overlapping-generations fecundity,0.95,3,linear,1,0.95,0.05,0,0,0,0,0.05,77,72.65,1530.38835
overlapping-generations fecundity,0.99,5,linear,1,0.9,0.1,0,0,0,0.1,0,37,70.8,3021.315241
overlapping-generations fecundity,0.95,4,linear,1,0.95,0.05,0,0,0,0.05,0,38,74.55,2996.19697
overlapping-generations fecundity,0.97,4.5,linear,1,0.9,0.1,0,0,0,0.1,0,33.5,72.55,3174.05248
overlapping-generations fecundity,0.8,6,concave,0.45,0,0.45,0.55,0,0,0,0.45,718.8,774.45,1370.820736
overlapping-generations fecundity,0.94,3.5,linear,1,0.95,0.05,0,0,0,0.05,0,28,74.15,4618.053571
overlapping-generations fecundity,0.94,4,linear,1,0.95,0.05,0,0,0,0,0.05,58,74.7,2326.228916
overlapping-generations fecundity,0.98,4.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,48,72.2,2622.818529
overlapping-generations fecundity,0.98,5,linear,1,0.95,0.05,0,0,0,0.05,0,23,69.9,4070.113208
overlapping-generations fecundity,0.97,4,linear,1,1,0,0,0,0,0,0,nan,69.8,nan
overlapping-generations fecundity,0.8,8.5,concave,0,0,0,1,0,0,0,0,950.3,nan,1248.91485
overlapping-generations fecundity,0.81,7,concave,0.3,0,0.3,0.7,0,0,0.05,0.25,772.75,827.35,1268.953315
overlapping-generations fecundity,0.94,4.5,linear,1,0.9,0.1,0,0,0,0.1,0,22,73.35,4001.85832
overlapping-generations fecundity,0.97,5.5,linear,1,0.85,0.15,0,0,0,0.05,0.1,66.33333333,79.15,2413.116266
overlapping-generations fecundity,0.93,3.5,linear,0.95,0.85,0.1,0,0,0.05,0.1,0,34.33333333,120.65,2684.857605
overlapping-generations fecundity,0.93,4,linear,0.9,0.65,0.25,0,0,0.1,0.15,0.1,34.57142857,171.65,3255.05578
overlapping-generations fecundity,0.96,4.5,linear,1,0.95,0.05,0,0,0,0,0.05,56,73.45,2488.181818
overlapping-generations fecundity,0.92,3.5,linear,1,0.95,0.05,0,0,0,0.05,0,19,74.9,3299.957447
overlapping-generations fecundity,0.8,9,concave,0.05,0,0.05,0.95,0,0,0,0.05,945.8,997.1,1243.909829
overlapping-generations fecundity,0.97,5,linear,1,0.9,0.1,0,0,0,0.1,0,45,73,3308.022833
overlapping-generations fecundity,0.96,5,linear,1,0.95,0.05,0,0,0,0,0.05,53,73.5,2116.688312
overlapping-generations fecundity,1,7,linear,1,0.95,0.05,0,0,0,0,0.05,108,73.8,1195.205882
overlapping-generations fecundity,0.93,4.5,linear,1,0.85,0.15,0,0,0,0.1,0.05,54.66666667,81.4,2896.993673
overlapping-generations fecundity,0.96,4,linear,0.95,0.9,0.05,0,0,0.05,0,0.05,77.5,119.15,2797.294014
overlapping-generations fecundity,0.93,3,linear,1,0.9,0.1,0,0,0,0.1,0,37,74.7,2419.014862
overlapping-generations fecundity,0.9,3,linear,1,0.85,0.15,0,0,0,0.15,0,40.66666667,77.35,3235.382895
overlapping-generations fecundity,0.86,10,concave,0.5,0.05,0.45,0.5,0,0,0.05,0.4,630.7368421,656.2,1251.685238
overlapping-generations fecundity,0.95,4.5,linear,1,0.8,0.2,0,0,0,0.1,0.1,50.25,79.25,2511.77015
overlapping-generations fecundity,0.81,6.5,concave,0.25,0.05,0.2,0.75,0,0,0,0.2,854.3684211,866.7,1257.181872
overlapping-generations fecundity,0.82,7,concave,0.3,0.05,0.25,0.7,0,0,0,0.25,814.6315789,829.3,1328.849268
overlapping-generations fecundity,0.94,3,linear,1,0.9,0.1,0,0,0,0,0.1,74.5,76.8,1908.72732
overlapping-generations fecundity,0.92,3,linear,0.95,0.9,0.05,0,0,0.05,0,0.05,45.5,123.4,3410.205942
overlapping-generations fecundity,1,7.5,linear,1,1,0,0,0,0,0,0,nan,68.4,nan
overlapping-generations fecundity,0.89,3,linear,0.95,0.95,0,0,0,0.05,0,0,nan,123.15,nan
overlapping-generations fecundity,0.91,3,linear,1,1,0,0,0,0,0,0,nan,73.3,nan
overlapping-generations fecundity,0.95,5,linear,1,0.9,0.1,0,0,0,0,0.1,77.5,79.55,1572.179869
overlapping-generations fecundity,0.9,3.5,linear,1,0.8,0.2,0,0,0,0.05,0.15,66,84.3,2397.84891
overlapping-generations fecundity,0.92,4,linear,1,0.85,0.15,0,0,0,0.05,0.1,64.33333333,81.25,2408.983148
overlapping-generations fecundity,0.88,3,linear,0.9,0.85,0.05,0,0,0.1,0.05,0,56.66666667,168.95,2874.454602
overlapping-generations fecundity,0.96,5.5,linear,1,0.9,0.1,0,0,0,0.1,0,32.5,76.25,2411.607473
overlapping-generations fecundity,0.99,7,linear,1,0.95,0.05,0,0,0,0.05,0,39,71.65,3317.636364
overlapping-generations fecundity,0.95,5.5,linear,1,0.75,0.25,0,0,0,0.25,0,20.4,78.65,4123.024062
overlapping-generations fecundity,1,8.5,linear,1,0.95,0.05,0,0,0,0.05,0,50,70.35,3333.02439
overlapping-generations fecundity,0.99,7.5,linear,1,0.85,0.15,0,0,0,0.05,0.1,92.66666667,82.75,2039.648091
overlapping-generations fecundity,0.94,5,linear,1,0.95,0.05,0,0,0,0.05,0,24,73.9,4370.982143
overlapping-generations fecundity,0.91,3.5,linear,0.95,0.9,0.05,0,0,0.05,0.05,0,28,123.95,3014.089286
overlapping-generations fecundity,0.89,3.5,linear,1,0.8,0.2,0,0,0,0.15,0.05,68.75,91.5,5024.381822
overlapping-generations fecundity,0.98,7.5,linear,1,1,0,0,0,0,0,0,nan,70.05,nan
overlapping-generations fecundity,0.91,4,linear,0.95,0.8,0.15,0,0,0.05,0.05,0.1,58.5,129.65,3814.572721
overlapping-generations fecundity,1,8,linear,1,0.9,0.1,0,0,0,0.05,0.05,54,73.25,2395.203357
overlapping-generations fecundity,0.93,5,linear,1,0.9,0.1,0,0,0,0.1,0,25,76.05,4261.513921
overlapping-generations fecundity,0.92,4.5,linear,1,0.8,0.2,0,0,0,0.05,0.15,71.75,86.2,2505.456555
overlapping-generations fecundity,0.98,7,linear,1,0.9,0.1,0,0,0,0.1,0,33,72.1,3432.9
overlapping-generations fecundity,0.99,8,linear,1,0.95,0.05,0,0,0,0,0.05,58,73.4,2974.617021
overlapping-generations fecundity,0.94,5.5,linear,1,0.8,0.2,0,0,0,0.1,0.1,93.5,89.9,1778.996584
overlapping-generations fecundity,0.93,5.5,linear,1,0.75,0.25,0,0,0,0.05,0.2,65.4,89.65,2634.907158
overlapping-generations fecundity,0.87,3,linear,1,0.8,0.2,0,0,0,0.05,0.15,88,93.55,1690.878994
overlapping-generations fecundity,0.92,5,linear,0.95,0.6,0.35,0,0,0.05,0.2,0.15,59.28571429,138.3,2648.387907
overlapping-generations fecundity,0.8,6.5,concave,0.25,0,0.25,0.75,0,0,0,0.25,837.1,891.1,1286.116813
overlapping-generations fecundity,0.88,3.5,linear,0.9,0.7,0.2,0,0,0.1,0.1,0.1,90.33333333,184.1,2908.207741
overlapping-generations fecundity,0.91,5,linear,1,0.65,0.35,0,0,0,0.2,0.15,57.14285714,94.8,1954.332825
overlapping-generations fecundity,0.98,8.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,39.5,74.8,3540.348899
overlapping-generations fecundity,0.98,8,linear,1,0.75,0.25,0,0,0,0,0.25,77.2,87.4,2478.564979
overlapping-generations fecundity,0.99,8.5,linear,1,0.95,0.05,0,0,0,0.05,0,37,71.4,5021.484848
overlapping-generations fecundity,0.96,7,linear,1,0.85,0.15,0,0,0,0.1,0.05,58,80.05,2630.995775
overlapping-generations fecundity,0.91,5.5,linear,1,0.6,0.4,0,0,0,0.3,0.1,52.25,92.95,2780.947261
overlapping-generations fecundity,0.97,7,linear,1,0.95,0.05,0,0,0,0,0.05,52,74.3,2238.414634
overlapping-generations fecundity,0.91,4.5,linear,0.95,0.35,0.6,0,0,0.05,0.2,0.4,72.61538462,157.65,2352.956046
overlapping-generations fecundity,0.87,3.5,linear,0.95,0.5,0.45,0,0,0.05,0.1,0.35,103.3333333,168.2,2246.864633
overlapping-generations fecundity,0.92,5.5,linear,1,0.6,0.4,0,0,0,0.2,0.2,54,92.3,3128.302442
overlapping-generations fecundity,0.9,4.5,linear,1,0.75,0.25,0,0,0,0.05,0.2,81.2,94,2742.887595
overlapping-generations fecundity,0.97,7.5,linear,1,0.8,0.2,0,0,0,0.1,0.1,51.75,80.8,2966.437928
overlapping-generations fecundity,0.97,8.5,linear,1,0.85,0.15,0,0,0,0.05,0.1,106,87.95,1573.910629
overlapping-generations fecundity,0.84,10,concave,0.45,0.05,0.4,0.55,0,0,0,0.4,744.4210526,763.35,1202.768651
overlapping-generations fecundity,0.9,4,linear,1,0.65,0.35,0,0,0,0.2,0.15,75.71428571,97.6,3714.155564
overlapping-generations fecundity,0.86,3,linear,0.95,0.7,0.25,0,0,0.05,0.15,0.1,47.16666667,132.15,2748.099512
overlapping-generations fecundity,0.96,7.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,59,78.75,2942.642184
overlapping-generations fecundity,0.95,7.5,linear,1,0.8,0.2,0,0,0,0.1,0.1,59.25,86.65,2091.976611
overlapping-generations fecundity,0.95,7,linear,1,0.7,0.3,0,0,0,0.05,0.25,78.5,96.25,2906.460271
overlapping-generations fecundity,0.89,4,linear,0.95,0.7,0.25,0,0,0.05,0.1,0.15,63.83333333,136.3,2620.821177
overlapping-generations fecundity,0.88,4,linear,1,0.4,0.6,0,0,0,0.2,0.4,93.5,124.35,2633.493862
overlapping-generations fecundity,0.85,10,concave,0.6,0,0.6,0.4,0,0,0,0.6,643.1,700,1351.454367
overlapping-generations fecundity,0.87,4,linear,1,0.4,0.6,0,0,0,0.25,0.35,69.83333333,113.95,3368.592706
overlapping-generations fecundity,0.94,7.5,linear,1,0.9,0.1,0,0,0,0.05,0.05,66.5,83.55,2316.26025
overlapping-generations fecundity,0.97,8,linear,1,0.9,0.1,0,0,0,0.05,0.05,43.5,76.05,4300.25162
overlapping-generations fecundity,0.87,4.5,linear,1,0.4,0.6,0,0,0,0.2,0.4,105.8333333,132.75,2763.850934
overlapping-generations fecundity,0.9,5,linear,0.9,0.4,0.5,0,0,0.1,0.25,0.25,74.90909091,201.3,2570.448032
overlapping-generations fecundity,0.84,3,linear,0.9,0.55,0.35,0,0,0.1,0.05,0.3,68.25,191.45,2837.261777
overlapping-generations fecundity,0.8,7,concave,0.15,0,0.15,0.85,0,0,0,0.15,898.85,951.15,1271.936323
overlapping-generations fecundity,0.96,8.5,linear,1,0.7,0.3,0,0,0,0.05,0.25,65.66666667,90.8,3000.090845
