model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.95,4.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,51,79.45,2701.390044
overlapping-generations fecundity,0.93,5.5,concave,1,0.95,0.05,0,0,0,0,0.05,67,76.7,3741.867347
overlapping-generations fecundity,0.95,7.5,concave,1,0.85,0.15,0,0,0,0.05,0.1,44.66666667,77,3066.354872
overlapping-generations fecundity,0.96,7.5,concave,1,0.85,0.15,0,0,0,0.05,0.1,56.33333333,78.9,2336.279347
overlapping-generations fecundity,0.94,5.5,concave,1,0.9,0.1,0,0,0,0.1,0,37.5,77.2,3631.024132
overlapping-generations fecundity,0.9,3,concave,0.95,0.95,0,0,0,0.05,0,0,33,119.3,3360.269231
overlapping-generations fecundity,0.93,3,concave,1,0.95,0.05,0,0,0,0,0.05,58,72.15,2609.988506
overlapping-generations fecundity,0.92,4,concave,1,0.75,0.25,0,0,0,0.2,0.05,45.4,81.2,2451.84794
overlapping-generations fecundity,0.91,4,concave,0.95,0.7,0.25,0,0,0.05,0.2,0.05,35.66666667,125.95,2794.023206
overlapping-generations fecundity,0.96,4,concave,1,0.9,0.1,0,0,0,0.1,0,35.5,77.35,3621.28426
overlapping-generations fecundity,0.95,7,concave,1,0.8,0.2,0,0,0,0.1,0.1,64,82.25,2617.39052
overlapping-generations fecundity,0.92,3,concave,1,0.9,0.1,0,0,0,0.05,0.05,40.5,74.8,2448.001587
overlapping-generations fecundity,0.89,3,concave,0.95,0.85,0.1,0,0,0.05,0.05,0.05,61.33333333,129.7,2871.135453
overlapping-generations fecundity,0.91,3,concave,0.95,0.85,0.1,0,0,0.05,0.1,0,41,121.35,2944.330129
overlapping-generations fecundity,0.9,3.5,concave,0.95,0.7,0.25,0,0,0.05,0.1,0.15,44.66666667,129.75,2487.766648
overlapping-generations fecundity,0.94,7.5,concave,1,0.8,0.2,0,0,0,0.05,0.15,59.5,83.7,2432.09919
overlapping-generations fecundity,0.88,3,concave,0.9,0.65,0.25,0,0,0.1,0.15,0.1,38.57142857,174.15,2882.402978
overlapping-generations fecundity,0.92,5,concave,0.95,0.65,0.3,0,0,0.05,0.05,0.25,119.7142857,155.8,1603.913091
overlapping-generations fecundity,0.92,7.5,concave,1,0.85,0.15,0,0,0,0.05,0.1,95.33333333,89.6,2051.260765
overlapping-generations fecundity,0.96,8.5,concave,1,0.75,0.25,0,0,0,0.1,0.15,102.8,95.15,2129.12534
overlapping-generations fecundity,0.91,5,concave,1,0.65,0.35,0,0,0,0.15,0.2,85.14285714,101.9,1748.023968
overlapping-generations fecundity,0.87,3.5,concave,0.95,0.65,0.3,0,0,0.05,0.1,0.2,63.85714286,141.85,3250.070864
overlapping-generations fecundity,0.94,5,concave,1,0.9,0.1,0,0,0,0,0.1,99,80.9,4112.256439
overlapping-generations fecundity,0.9,4,concave,1,0.65,0.35,0,0,0,0.2,0.15,52,87.15,2472.677715
overlapping-generations fecundity,0.94,3,concave,1,0.9,0.1,0,0,0,0,0.1,84,77.35,3908.903144
overlapping-generations fecundity,0.91,5.5,concave,1,0.5,0.5,0,0,0,0.25,0.25,62.4,98.15,3108.514201
overlapping-generations fecundity,0.93,7.5,concave,1,0.55,0.45,0,0,0,0.2,0.25,60.88888889,97.3,2601.699457
overlapping-generations fecundity,0.95,8.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,57.75,84.5,1974.370917
overlapping-generations fecundity,0.95,8,concave,1,0.7,0.3,0,0,0,0.1,0.2,62.66666667,87.9,2553.750467
overlapping-generations fecundity,0.86,3.5,concave,1,0.7,0.3,0,0,0,0.05,0.25,76.33333333,96.7,2414.145154
overlapping-generations fecundity,0.96,8,concave,1,0.75,0.25,0,0,0,0.05,0.2,97.4,92.4,2233.821094
overlapping-generations fecundity,0.91,4.5,concave,1,0.85,0.15,0,0,0,0,0.15,83.33333333,85.5,2453.426134
overlapping-generations fecundity,0.92,4.5,concave,1,0.7,0.3,0,0,0,0.05,0.25,67.83333333,93.3,3619.203024
overlapping-generations fecundity,0.92,5.5,concave,1,0.65,0.35,0,0,0,0.05,0.3,108.4285714,108,2283.439084
overlapping-generations fecundity,0.93,5,concave,0.95,0.8,0.15,0,0,0.05,0.05,0.1,69.75,130.2,4342.732203
overlapping-generations fecundity,0.9,4.5,concave,1,0.7,0.3,0,0,0,0.1,0.2,87.83333333,97.9,2155.705191
overlapping-generations fecundity,0.97,8,concave,1,0.85,0.15,0,0,0,0.1,0.05,62,78.1,6791.004287
overlapping-generations fecundity,0.94,8.5,concave,1,0.8,0.2,0,0,0,0.1,0.1,132.75,99.1,1558.67763
overlapping-generations fecundity,0.87,3,concave,1,0.8,0.2,0,0,0,0,0.2,129.75,98.3,1566.543553
overlapping-generations fecundity,0.87,4.5,concave,0.95,0.4,0.55,0,0,0.05,0.3,0.25,79.66666667,159.35,2405.049415
overlapping-generations fecundity,0.9,5.5,concave,1,0.45,0.55,0,0,0,0.1,0.45,91.45454545,121.25,2121.926659
overlapping-generations fecundity,0.88,4,concave,1,0.6,0.4,0,0,0,0.2,0.2,98,112.75,2264.778206
overlapping-generations fecundity,0.9,5,concave,1,0.7,0.3,0,0,0,0.15,0.15,84.16666667,95.65,2267.813867
overlapping-generations fecundity,0.89,5,concave,1,0.65,0.35,0,0,0,0.2,0.15,90.85714286,103.4,2195.44368
overlapping-generations fecundity,0.87,4,concave,0.9,0.5,0.4,0,0,0.1,0.1,0.3,107.2,210.8,2339.031544
overlapping-generations fecundity,0.92,8,concave,1,0.6,0.4,0,0,0,0.05,0.35,121.75,118.6,2037.113485
overlapping-generations fecundity,0.88,3.5,concave,0.95,0.65,0.3,0,0,0.05,0.1,0.2,96.14285714,144.8,3191.363756
overlapping-generations fecundity,0.91,3.5,concave,0.9,0.7,0.2,0,0,0.1,0.05,0.15,86,182.85,3667.361178
overlapping-generations fecundity,0.92,8.5,concave,1,0.5,0.5,0,0,0,0.15,0.35,74.5,106.05,2609.332838
overlapping-generations fecundity,0.86,3,concave,0.95,0.75,0.2,0,0,0.05,0.05,0.15,70.6,137.15,2550.709541
overlapping-generations fecundity,0.93,8.5,concave,1,0.5,0.5,0,0,0,0.15,0.35,95.7,116.5,2094.086041
overlapping-generations fecundity,0.93,8,concave,1,0.65,0.35,0,0,0,0.15,0.2,84.71428571,99.65,2486.723634
overlapping-generations fecundity,0.89,5.5,concave,1,0.45,0.55,0,0,0,0.15,0.4,75,110.5,2314.978949
overlapping-generations fecundity,0.88,5,concave,0.95,0.5,0.45,0,0,0.05,0.15,0.3,76.4,153.15,2554.002443
overlapping-generations fecundity,0.94,8,concave,1,0.65,0.35,0,0,0,0.05,0.3,93.71428571,102.5,3009.824176
overlapping-generations fecundity,0.89,4.5,concave,0.95,0.55,0.4,0,0,0.05,0.15,0.25,90,147.9,2775.264974
