drive conversion,somatic fitness,germline resistance,embryo resistance,eliminated,genetic load,efficiency decline coefficient,zero frequency relative increase rate,maximum drive frequency,linear regression loss,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females,suppressed rate,chasing rate
0.5,0.9,0,0.4,0,0.4612507,0.675661355,0.25750875,0.381121028,0.002786749,0,0,0.8,0,0.2,0,0,336.3125,,8619.342404,0,0.8
0.6,1,0,0.7,0,0.591475875,0.584325175,0.246126327,0.421214655,0.004632068,0,0,1,0,0,0,0,338.15,,5658.320606,0,1
0.65,0.9,0,0,0,0.761839625,0.6629275,0.537600235,0.810948762,0.001000194,0,0,1,0,0,0,0,342.2,,1775.39641,0,1
0.65,0.95,0,0.4,0,0.718838938,0.633417621,0.388939391,0.614033109,0.002354746,0,0,1,0,0,0,0,341,,2899.529602,0,1
0.5,0.95,0,0.5,0,0.441633488,0.747807183,0.259362264,0.3468304,0.003377645,0,0,0.75,0,0.25,0,0,329.0666667,,8594.114809,0,0.75
0.5,0.95,0,0.4,0,0.484464137,0.694342115,0.2876219,0.414236575,0.002682694,0,0,1,0,0,0,0,338.9,,7732.88169,0,1
0.6,0.9,0,0.2,0,0.677571963,0.612198719,0.396799412,0.648154594,0.001882332,0,0,1,0,0,0,0,340.65,,3416.195756,0,1
0.5,1,0,0.6,0,0.438160725,0.681459503,0.221841563,0.32553888,0.004040063,0,0,0.15,0,0.85,0,0,335.3333333,,9082.052551,0,0.15
0.6,1,0,0.5,0,0.6374954,0.646045607,0.330975512,0.512309825,0.002273343,0,0,1,0,0,0,0,339.7,,4140.156965,0,1
0.5,1,0,0.4,0,0.525632788,0.68423412,0.295843349,0.432371524,0.003588785,0,0,1,0,0,0,0,339.35,,6868.881231,0,1
0.6,0.95,0,0.2,0,0.68978475,0.657024954,0.43317581,0.659298871,0.00244621,0,0,1,0,0,0,0,342.15,,3206.21404,0,1
0.65,1,0,0.6,0,0.699405812,0.572437816,0.314059134,0.548634498,0.003006781,0,0,1,0,0,0,0,339.6,,3466.095617,0,1
0.6,0.95,0,0.9,0,0.428260713,0.531920968,0.150951936,0.283786399,0.005726812,0,0,0.4,0,0.6,0,0,302.5,,8908.474134,0,0.4
0.6,1,0,0.8,0,0.5559221,0.554872632,0.206791219,0.372682318,0.006498505,0,0,1,0,0,0,0,322.25,,6227.199991,0,1
0.5,1,0,0.5,0,0.476888575,0.724213146,0.269614673,0.372286356,0.003146544,0,0,0.85,0,0.15,0,0,334.8235294,,7672.650002,0,0.85
0.6,0.9,0,0.8,0,0.448561213,0.654930096,0.193563187,0.295547858,0.005836408,0,0,0.5,0,0.5,0,0,310.2,,8525.938893,0,0.5
0.5,0.95,0,0,0,0.581271512,0.605347733,0.425739076,0.703296721,0.002136754,0,0,1,0,0,0,0,341.3,,5189.737863,0,1
0.6,0.95,0,0,0,0.705879037,0.657897199,0.514548048,0.782110107,0.001198544,0,0,1,0,0,0,0,342.55,,2670.981813,0,1
0.6,1,0,0.6,0,0.61752035,0.620609892,0.283641129,0.457036108,0.003275682,0,0,1,0,0,0,0,338.8,,4750.598313,0,1
0.6,0.95,0,0.1,0,0.702901925,0.655184164,0.471421049,0.719524487,0.00113018,0,0,1,0,0,0,0,342.45,,2932.982093,0,1
0.6,0.95,0,0.3,0,0.663980875,0.654377233,0.390472324,0.596708297,0.001683372,0,0,1,0,0,0,0,341.3,,3596.853029,0,1
0.6,0.95,0,0.4,0,0.646585463,0.662123676,0.357025282,0.539212378,0.002332609,0,0,1,0,0,0,0,339.4,,4036.612709,0,1
0.65,0.95,0,0.2,0,0.742759013,0.701688362,0.489004592,0.696897111,0.001775205,0,0,1,0,0,0,0,342.5,,2287.816547,0,1
0.65,1,0,0.4,0,0.72965065,0.637357031,0.396134174,0.621526326,0.002135538,0,0,1,0,0,0,0,341.6,,2672.547058,0,1
0.6,1,0,0.3,0,0.680048562,0.685972138,0.420415523,0.612875508,0.002057692,0,0,1,0,0,0,0,341.35,,3313.307818,0,1
0.65,0.95,0,0.3,0,0.732978775,0.67066795,0.43546458,0.64929982,0.002171853,0,0,1,0,0,0,0,341.6,,2560.702244,0,1
0.6,1,0,0.4,0,0.664767125,0.647525351,0.364687858,0.563202441,0.002456411,0,0,1,0,0,0,0,340.7,,3653.208323,0,1
0.65,0.95,0,0,0,0.751820763,0.687125948,0.555402323,0.8082977,0.001414968,0,0,1,0,0,0,0,342.8,,1776.264504,0,1
0.65,1,0,0.5,0,0.712487913,0.632321634,0.364502709,0.576451428,0.002560445,0,0,1,0,0,0,0,340.5,,2972.046792,0,1
0.5,1,0,0.1,0,0.566047975,0.65717687,0.416267506,0.633417767,0.001646778,0,0,1,0,0,0,0,341.9,,5420.709424,0,1
0.65,0.95,0,0.1,0,0.746466112,0.678315008,0.515912894,0.760580096,0.001265092,0,0,1,0,0,0,0,342.9,,2037.588678,0,1
0.6,1,0,0.2,0,0.6895873,0.718314174,0.469427186,0.653512354,0.001096275,0,0,1,0,0,0,0,342.15,,3042.387749,0,1
0.65,1,0,0.3,0,0.734660925,0.673514151,0.452723455,0.672181059,0.001124592,0,0,1,0,0,0,0,342.2,,2386.499978,0,1
0.6,1,0,0,0,0.693286575,0.712044601,0.552797631,0.776352535,0.000596463,0,0,1,0,0,0,0,343.2,,2730.123614,0,1
0.65,1,0,0.2,0,0.7371999,0.721832862,0.510882537,0.707757382,0.001591566,0,0,1,0,0,0,0,343.2,,2197.853645,0,1
0.5,1,0,0,0,0.568383,0.651939757,0.461606816,0.708051336,0.001582574,0,0,1,0,0,0,0,342.1,,5249.844318,0,1
0.65,1,0,0,0,0.7427082,0.709617916,0.580011414,0.817357342,0.00093776,0,0,1,0,0,0,0,343.85,,1858.420268,0,1
0.65,1,0,0.1,0,0.739536725,0.722839036,0.545003699,0.753976573,0.001145112,0,0,1,0,0,0,0,343.4,,1980.312361,0,1
0.6,1,0,0.1,0,0.692957288,0.711971803,0.509682704,0.715874845,0.001246167,0,0,1,0,0,0,0,342.95,,2854.97223,0,1
0.55,0.55,0.05,0.1,0,0.3929068,0.575358758,0.198667475,0.345293214,0.003927305,0,0,0.4,0,0.6,0,0,327,,12276.97935,0,0.4
0.55,0.5,0.05,0.1,0,0.304741413,0.646948235,0.171314302,0.264803725,0.004663209,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0.05,0.3,0,0.232280487,1.35973364,0.161209683,0.118559752,0.004764322,0,0,0,0,1,0,0,,,,0,0
