df_cluster,df_popsize,df_popsize_per_cluster,dv_cluster,dv_popsize,dv_popsize_per_cluster,of_cluser,of_popsize,of_popsize_per_cluster,ov_cluster,ov_popsize,ov_popsize_per_cluster
1,26,26,1,617,617,1,1175,1175,1,1853,1853
1,48,48,1,590,590,1,1038,1038,3,2060,686.6666667
1,193,193,1,978,978,1,999,999,2,2211,686.6666667
1,602,602,1,1236,1236,1,1021,1021,2,2537,686.6666667
1,1455,1455,2,1699,849.5,2,1065,532.5,2,2881,1105.5
1,2920,2920,2,2048,849.5,1,1092,532.5,3,3385,1105.5
1,4330,4330,2,2497,1024,2,1140,1092,1,3823,1268.5
1,6054,6054,1,3068,1024,2,1152,570,2,4186,1268.5
1,7905,7905,1,3635,1248.5,1,1121,570,2,4471,1440.5
1,9051,9051,1,3788,1248.5,2,1123,576,2,4768,1440.5
1,10975,10975,1,4370,3068,2,1048,576,1,4942,1128.333333
1,12595,12595,1,4385,3635,1,987,1121,2,5045,1128.333333
1,1185,1185,1,4627,3788,1,929,561.5,2,5073,1128.333333
1,1190,1190,1,4807,4370,2,879,561.5,2,5130,3823
1,1238,1238,1,4949,4385,1,822,524,1,5093,2093
1,1176,1176,1,4849,4627,1,775,524,1,1413,2093
1,902,902,1,3071,4807,1,756,987,1,1567,2235.5
1,955,955,2,2453,4949,1,731,929,2,1661,2235.5
1,937,937,1,2478,4849,1,723,439.5,2,1820,2384
2,1281,640.5,1,3131,3071,1,747,439.5,2,1976,2384
2,2063,640.5,1,3057,1226.5,1,794,822,1,2062,4942
3,2820,1031.5,1,3509,1226.5,1,840,775,2,2122,2522.5
3,4246,1031.5,1,4085,2478,1,871,756,2,2139,2522.5
3,5395,940,2,4905,3131,1,998,731,2,2247,2536.5
3,7210,940,1,5640,3057,1,1036,723,2,2339,2536.5
3,7871,940,2,6979,3509,1,1161,747,2,2388,2565
1,8713,1415.333333,2,7544,4085,2,1387,794,2,2352,2565
2,9547,1415.333333,2,7935,2452.5,1,1599,840,2,2368,5093
2,9388,1415.333333,1,7734,2452.5,2,1799,871,2,2354,1413
2,9346,1798.333333,1,7377,5640,2,1976,998,2,2356,1567
2,9214,1798.333333,1,6966,3489.5,2,2153,1036,2,2460,830.5
1,8267,1798.333333,1,4969,3489.5,2,2304,1161,3,2600,830.5
1,4548,2403.333333,1,4329,3772,3,2305,693.5,2,2665,910
1,3805,2403.333333,1,123,3772,3,2354,693.5,2,2825,910
1,3208,2403.333333,1,298,3967.5,2,2379,1599,2,2948,988
1,1339,2623.666667,1,249,3967.5,2,2430,899.5,2,3122,988
1,1441,2623.666667,1,366,7734,1,2406,899.5,2,3354,2062
2,1954,2623.666667,1,331,7377,2,2352,988,2,3482,1061
1,2625,8713,1,256,6966,1,2189,988,2,3634,1061
2,3303,4773.5,1,305,4969,2,2094,1076.5,2,3800,1069.5
4,3601,4773.5,1,202,4329,1,1945,1076.5,2,3987,1069.5
5,4424,4694,1,281,123,1,1701,1152,1,4137,1123.5
3,4997,4694,2,485,298,1,1695,1152,2,4303,1123.5
1,5530,4673,2,983,249,1,1710,768.3333333,1,4602,1169.5
1,5914,4673,2,1658,366,1,1821,768.3333333,1,4989,1169.5
1,6607,4607,1,2656,331,1,1891,768.3333333,1,5148,1194
2,6959,4607,1,3724,256,1,1969,784.6666667,1,5398,1194
2,7223,8267,1,4924,305,1,2022,784.6666667,1,5574,1176
2,6820,4548,1,6065,202,1,2189,784.6666667,1,5801,1176
1,6720,3805,1,7521,281,2,2252,1189.5,1,6037,1184
1,7151,3208,1,8547,242.5,2,2248,1189.5,1,6189,1184
2,6714,1339,1,9152,242.5,1,2337,1215,2,6247,1177
1,6251,1441,1,10048,491.5,2,2388,1215,2,6443,1177
1,5703,977,1,11015,491.5,2,2572,2406,1,6493,1178
1,4458,977,1,12314,829,2,2689,1176,1,6609,1178
1,1228,2625,1,13176,829,1,2805,1176,1,6509,1230
2,1585,1651.5,1,13887,2656,1,2765,2189,1,6409,1230
1,2269,1651.5,1,14192,3724,2,2660,1047,1,6498,866.6666667
1,2768,900.25,1,14080,4924,3,2706,1047,1,6492,866.6666667
1,3499,900.25,1,13938,6065,4,2746,1945,1,6521,866.6666667
1,4126,900.25,1,13209,7521,4,2696,1701,2,6449,1332.5
1,4054,900.25,1,12810,8547,4,2597,1695,1,6565,1332.5
2,4087,884.8,1,7622,9152,3,2477,1710,2,6701,1412.5
2,3775,884.8,1,7223,10048,2,2352,1821,2,6771,1412.5
1,3698,884.8,1,6656,11015,1,2322,1891,1,6769,1474
2,448,884.8,1,6100,12314,1,2458,1969,1,6694,1474
1,472,884.8,2,5900,13176,1,2403,2022,2,6621,1561
1,411,1665.666667,2,6680,13887,1,2496,2189,1,6621,1561
1,378,1665.666667,2,7652,14192,1,2418,1126,1,6539,1677
1,316,1665.666667,2,8382,14080,1,2385,1126,1,6337,1677
1,559,5530,1,8689,13938,1,2531,1124,1,6142,1741
1,845,5914,1,9028,13209,1,2615,1124,1,5919,1741
1,1156,6607,1,8921,12810,1,2629,2337,1,3987,1817
1,1649,3479.5,1,8361,7622,2,2664,1194,1,3363,1817
1,2687,3479.5,1,1258,7223,2,2764,1194,1,3058,1900
1,3394,3611.5,1,1886,6656,2,2943,1286,1,2716,1900
1,3715,3611.5,1,2969,6100,1,3196,1286,1,2502,1993.5
1,4417,3410,1,4403,2950,1,3302,1344.5,1,2349,1993.5
1,4709,3410,1,5758,2950,2,3504,1344.5,1,2252,4137
2,5362,6720,2,6720,3340,3,3747,2805,1,2202,2151.5
1,5846,7151,2,7314,3340,3,3952,2765,1,2119,2151.5
1,6085,3357,2,7710,3826,3,4196,1330,1,2124,4602
1,6038,3357,2,8000,3826,2,4347,1330,1,2078,4989
2,5888,6251,2,8204,4191,3,4604,902,1,2128,5148
2,5975,5703,1,8222,4191,2,4806,902,1,2231,5398
2,6225,4458,1,7928,8689,2,4940,902,1,2356,5574
1,6532,1228,1,228,9028,2,5161,686.5,1,2437,5801
1,6367,792.5,1,273,8921,2,5373,686.5,1,2448,6037
1,6611,792.5,1,440,8361,1,5486,686.5,2,2471,6189
1,6356,2269,1,400,1258,1,5722,686.5,2,2513,3123.5
1,5350,2768,1,562,1886,1,5910,674,2,2502,3123.5
1,4802,3499,1,753,2969,3,5840,674,1,2490,3221.5
1,1609,4126,1,1092,4403,3,5780,674,1,2452,3221.5
1,1196,4054,2,1726,5758,3,5668,674,1,2365,6493
1,1160,2043.5,2,2465,3360,2,5301,649.25,1,2265,6609
1,1267,2043.5,2,3272,3360,1,4505,649.25,1,2151,6509
2,1389,1887.5,2,4189,3657,2,4201,649.25,1,2128,6409
1,1268,1887.5,2,5126,3657,1,3859,649.25,1,2061,6498
1,1340,3698,2,5868,3855,2,3649,825.6666667,1,2100,6492
1,1425,224,2,6344,3855,2,3454,825.6666667,1,2150,6521
1,1953,224,2,6677,4000,1,3198,825.6666667,2,2210,3224.5
2,2705,472,3,5239,4000,1,2999,1176,2,2211,3224.5
1,3678,411,3,4682,4102,1,2738,1176,3,2177,6565
2,5170,378,2,4689,4102,1,2708,2322,1,2216,3350.5
2,6148,316,1,4046,8222,1,2560,2458,2,2500,3350.5
1,6877,559,1,3447,7928,1,2467,2403,2,2827,3385.5
1,7218,845,1,3580,228,1,2357,2496,1,3216,3385.5
1,7966,1156,1,3356,273,1,2194,2418,1,3536,6769
2,8842,1649,1,3869,440,1,2009,2385,1,3858,6694
2,9877,2687,1,3689,400,3,2082,2531,1,4320,3310.5
2,10553,3394,1,3841,562,3,2117,2615,2,4717,3310.5
2,10930,3715,1,4155,753,5,2082,2629,2,5210,6621
2,9580,4417,1,4999,1092,4,2049,1332,2,5606,6539
1,8736,4709,2,5509,863,2,1887,1332,1,5888,6337
1,8373,2681,2,5908,863,2,1854,1382,2,6213,6142
1,3477,2681,1,5974,1232.5,3,1793,1382,2,6453,5919
2,2589,5846,1,6218,1232.5,2,1736,1471.5,1,6714,3987
2,2856,6085,1,6382,1636,1,1621,1471.5,3,6946,3363
1,2326,6038,2,6206,1636,1,1581,3196,2,7247,3058
2,1916,2944,2,6331,2094.5,1,1475,3302,3,7443,2716
2,1678,2944,1,5696,2094.5,1,1557,1752,3,7546,2502
1,1722,2987.5,1,5053,2563,1,1693,1752,2,7644,2349
2,2326,2987.5,1,4537,2563,1,1746,1249,2,7684,2252
1,3464,3112.5,1,4182,2934,1,1805,1249,2,7613,2202
2,4097,3112.5,1,3967,2934,1,1732,1249,2,7608,2119
3,4911,6532,2,3812,3172,1,1655,1317.333333,1,7342,2124
2,6190,6367,1,3808,3172,1,1711,1317.333333,1,7158,2078
2,8021,6611,1,3630,3338.5,2,1717,1317.333333,1,6880,2128
3,9232,6356,1,3432,3338.5,2,1571,1398.666667,1,6684,2231
3,10191,5350,1,2320,1746.333333,2,1564,1398.666667,1,1504,2356
3,10321,4802,1,2690,1746.333333,1,1554,1398.666667,1,1463,2437
2,10792,1609,1,2881,1746.333333,1,1469,2173.5,1,1464,2448
2,9827,1196,1,3461,1560.666667,1,284,2173.5,1,1446,1235.5
1,7470,1160,2,4179,1560.666667,1,256,1534.666667,1,1491,1235.5
1,6716,1267,2,4374,1560.666667,1,312,1534.666667,1,1563,1256.5
1,6069,694.5,4,4847,2344.5,1,420,1534.666667,1,1765,1256.5
1,6578,694.5,3,5308,2344.5,1,508,2403,2,1990,1251
1,6585,1268,3,5439,4046,1,612,2403,2,2243,1251
1,6405,1340,1,5420,3447,1,729,2470,2,2527,2490
1,5193,1425,1,1517,3580,1,827,2470,2,2803,2452
1,4337,1953,1,1568,3356,1,918,2580.5,1,3117,2365
1,2631,1352.5,1,2310,3869,2,960,2580.5,1,3431,2265
2,2601,1352.5,1,3455,3689,2,1079,2686.5,1,3860,2151
2,2745,3678,1,4696,3841,2,1074,2686.5,1,4337,2128
1,2619,2585,1,6030,4155,1,1029,5486,1,4802,2061
2,2739,2585,1,6809,4999,1,185,5722,3,5083,2100
2,2721,3074,1,7599,2754.5,1,272,5910,1,5223,2150
2,2754,3074,1,7825,2754.5,1,350,1946.666667,1,5329,1105
2,3341,6877,1,7568,2954,1,448,1946.666667,2,5335,1105
2,3725,7218,2,7160,2954,1,563,1946.666667,1,5133,1105.5
3,4096,7966,1,6403,5974,1,618,1926.666667,2,2069,1105.5
3,4523,4421,1,6202,6218,1,675,1926.666667,2,1928,725.6666667
1,4734,4421,1,6005,6382,1,704,1926.666667,2,1868,725.6666667
1,4774,4938.5,1,5542,3103,1,790,1889.333333,2,1825,725.6666667
2,4763,4938.5,1,5459,3103,1,902,1889.333333,2,1866,2216
2,4544,5276.5,2,5561,3165.5,1,1003,1889.333333,3,2063,1250
1,3800,5276.5,3,5705,3165.5,1,1079,2650.5,3,2401,1250
2,3151,5465,1,6072,5696,1,1110,2650.5,2,2945,1413.5
2,2269,5465,3,6211,5053,1,1111,4505,3,3676,1413.5
1,1534,4790,1,6373,4537,1,1095,2100.5,2,4472,3216
1,1728,4790,2,6330,4182,1,1101,2100.5,3,5511,3536
1,1770,8736,2,2528,3967,1,1093,3859,1,6555,3858
2,2287,8373,2,2696,1906,1,1057,1824.5,2,7466,4320
2,2692,3477,2,3907,1906,1,1006,1824.5,2,8396,2358.5
1,3119,1294.5,2,5720,3808,1,950,1727,2,8929,2358.5
1,3356,1294.5,3,7901,3630,1,939,1727,1,9366,2605
1,3638,1428,2,9938,3432,1,843,3198,1,9705,2605
1,3502,1428,3,11999,2320,1,809,2999,1,9912,2803
1,2805,2326,2,13697,2690,1,523,2738,1,9825,2803
1,2782,958,1,14770,2881,1,463,2708,1,9796,5888
1,2885,958,1,15256,3461,1,523,2560,1,9763,3106.5
2,3186,839,1,14775,2089.5,2,672,2467,1,7618,3106.5
2,2778,839,1,13324,2089.5,2,875,2357,2,7475,3226.5
2,2853,1722,2,4936,2187,2,1206,2194,2,7549,3226.5
2,2890,1163,1,1644,2187,1,1617,2009,2,7429,6714
1,3393,1163,1,1840,1211.75,1,2150,694,1,7349,2315.333333
2,3914,3464,1,2061,1211.75,1,2764,694,1,1140,2315.333333
2,4901,2048.5,1,2222,1211.75,1,3345,694,2,1157,2315.333333
2,5333,2048.5,1,2670,1211.75,3,3930,705.6666667,2,1263,3623.5
2,5885,1637,1,3116,1769.333333,3,4342,705.6666667,3,1423,3623.5
2,5473,1637,1,3260,1769.333333,3,4496,705.6666667,2,1810,2481
1,5089,1637,1,3486,1769.333333,3,4656,416.4,2,2201,2481
1,2667,3095,1,3607,1813,3,4736,416.4,2,2655,2481
1,3313,3095,2,3587,1813,3,4761,416.4,2,3149,2515.333333
2,3503,4010.5,1,2625,1813,2,4813,416.4,2,3564,2515.333333
1,3828,4010.5,1,2646,5420,2,4869,416.4,2,3964,2515.333333
1,3956,3077.333333,2,2725,1517,1,4967,512.25,2,4286,3822
1,3922,3077.333333,1,2899,1568,1,5155,512.25,1,4640,3822
1,3715,3077.333333,2,3188,2310,1,5363,512.25,1,4831,3842
2,3632,3397,2,3776,3455,2,5713,512.25,1,5049,3842
2,3647,3397,1,4348,4696,1,5705,943.5,2,5132,3806.5
2,3564,3397,2,5358,6030,1,5695,943.5,2,5322,3806.5
2,3836,3440.333333,2,6235,6809,3,5681,927,2,5448,3804
1,3590,3440.333333,3,6782,7599,2,5466,927,1,5585,3804
2,2524,3440.333333,2,6531,7825,2,5267,597.6666667,1,5497,7342
1,2113,5396,1,6726,7568,1,5071,597.6666667,1,5507,7158
1,1944,5396,2,7014,3580,1,4950,597.6666667,1,5450,6880
1,2237,4913.5,2,7227,3580,1,4678,868,1,5354,6684
1,2388,4913.5,1,677,6403,1,4346,868,1,5241,1504
2,2781,7470,2,904,6202,1,4043,1621,1,4964,1463
3,3195,6716,1,1190,6005,1,3672,1581,2,4711,1464
3,3785,6069,2,1590,5542,1,3375,1475,1,4408,1446
4,4334,6578,2,1851,5459,1,2989,1557,1,4014,1491
4,4906,6585,2,2074,2780.5,1,514,1693,1,3775,1563
4,5727,6405,2,2507,2780.5,1,520,1746,1,3537,1765
3,6574,5193,2,2388,1901.666667,2,622,1805,1,2917,995
3,7418,4337,2,2466,1901.666667,2,791,1732,1,2802,995
4,7607,2631,1,1191,1901.666667,3,1019,1655,1,2720,1121.5
3,7779,1300.5,1,1116,6072,3,1302,1711,1,2420,1121.5
3,7555,1300.5,1,1055,2070.333333,3,1639,858.5,1,2465,1263.5
1,6697,1372.5,1,32,2070.333333,3,2113,858.5,2,2466,1263.5
1,4400,1372.5,1,20,2070.333333,3,2723,785.5,1,2458,1401.5
1,4041,2619,1,96,6373,2,3416,785.5,1,2529,1401.5
1,3922,1369.5,1,341,3165,2,4407,782,1,2519,3117
2,3879,1369.5,1,911,3165,2,5220,782,1,2714,3431
2,3791,1360.5,1,1597,1264,3,5975,1554,1,3113,3860
1,2623,1360.5,1,2506,1264,3,6810,1469,2,3412,4337
1,2855,1377,1,3335,1348,4,7461,284,5,3671,4802
1,3103,1377,1,4616,1348,3,7969,256,3,3957,1694.333333
1,4036,1670.5,1,5885,1953.5,3,8729,312,3,4148,1694.333333
1,5346,1670.5,1,7262,1953.5,3,8996,420,2,4431,1694.333333
1,6831,1862.5,1,8718,2860,3,9334,508,2,4630,5223
2,7537,1862.5,1,10302,2860,2,9479,612,3,4880,5329
2,8846,1365.333333,1,1541,2633.666667,2,9786,729,2,5052,2667.5
2,9100,1365.333333,1,1748,2633.666667,2,10013,827,2,5267,2667.5
2,9504,1365.333333,1,1942,2633.666667,1,7892,918,3,5520,5133
2,9552,1507.666667,1,2352,4969,1,6949,480,3,5883,1034.5
4,9357,1507.666667,1,2637,4969,1,1526,480,3,6220,1034.5
2,8265,1507.666667,1,3009,3999.666667,2,1372,539.5,2,6602,964
1,7159,4734,1,3557,3999.666667,1,1327,539.5,1,7115,964
1,6547,4774,1,3784,3999.666667,3,1302,537,1,7398,934
1,5113,2381.5,2,3664,6848.5,2,1311,537,1,7646,934
1,1211,2381.5,1,3275,6848.5,2,1371,1029,1,7955,912.5
1,1288,2272,1,999,14770,1,1433,185,1,8075,912.5
1,1637,2272,1,918,15256,2,1618,272,1,8154,933
1,1567,3800,1,1058,14775,1,1742,350,1,8308,933
2,1580,1575.5,1,1559,13324,1,1839,448,1,8198,687.6666667
2,1488,1575.5,2,2419,2468,1,1985,563,1,8066,687.6666667
2,1479,1134.5,2,3609,2468,1,2146,618,1,1911,687.6666667
2,1691,1134.5,3,4610,1644,2,2342,675,1,1940,800.3333333
3,2105,1534,3,5758,1840,1,2596,704,1,2035,800.3333333
3,2900,1728,2,6620,2061,1,2873,790,1,2218,800.3333333
3,4178,1770,2,7320,2222,1,3158,902,1,2350,1472.5
3,5536,1143.5,2,7282,2670,1,3412,1003,1,2451,1472.5
3,6198,1143.5,1,7450,3116,1,3592,1079,1,2191,1225.333333
2,6622,1346,1,7392,3260,1,3861,1110,2,2025,1225.333333
2,6860,1346,1,7181,3486,1,4078,1111,1,1848,1225.333333
1,7019,3119,1,7466,3607,1,4356,1095,2,1785,2236
1,6838,3356,1,7043,1793.5,1,4620,1101,1,1801,2236
1,6961,3638,1,6990,1793.5,2,4822,1093,2,1905,1837
1,6891,3502,1,6872,2625,2,5030,1057,1,2056,1837
1,6199,2805,1,6740,2646,1,5155,1006,1,2179,1837
1,5639,2782,2,6136,1362.5,1,5211,950,1,2441,6555
1,4650,2885,2,5618,1362.5,2,5252,939,1,2715,3733
1,4583,1593,1,4649,2899,2,5212,843,1,3059,3733
1,5225,1593,1,4517,1594,2,5063,809,1,3484,4198
1,5086,1389,2,4357,1594,2,5094,523,1,3806,4198
1,5710,1389,1,4218,1888,2,4932,463,1,4137,4464.5
1,6200,1426.5,1,3991,1888,1,4672,523,1,4296,4464.5
1,5957,1426.5,1,3963,4348,1,4432,336,1,4533,9366
2,5570,1445,1,4173,2679,1,4238,336,1,4742,9705
1,4767,1445,1,5070,2679,1,3841,437.5,1,4950,9912
1,4111,3393,1,5615,3117.5,1,3324,437.5,1,5077,9825
2,2621,1957,1,6380,3117.5,1,2908,603,1,5159,9796
1,2324,1957,1,7166,2260.666667,1,1171,603,1,4034,9763
1,2548,2450.5,1,7507,2260.666667,1,1193,1617,1,3804,7618
2,2920,2450.5,1,7768,2260.666667,1,1242,2150,1,2925,3737.5
2,3678,2666.5,1,7746,3265.5,1,1313,2764,1,2683,3737.5
1,4328,2666.5,1,7225,3265.5,1,1332,3345,1,2153,3774.5
1,4722,2942.5,1,6605,6726,1,1276,1310,1,2056,3774.5
2,5179,2942.5,1,6602,3507,1,1314,1310,1,2036,3714.5
2,5986,2736.5,1,6859,3507,1,1305,1310,1,2054,3714.5
2,6564,2736.5,2,5961,3613.5,1,1264,1447.333333,1,2190,7349
2,5947,5089,2,5442,3613.5,1,1206,1447.333333,1,2206,1140
3,5781,2667,1,5267,677,1,1219,1447.333333,1,2137,578.5
2,5081,3313,1,5222,452,2,1353,1498.666667,1,1654,578.5
2,3975,1751.5,1,5706,452,2,1537,1498.666667,1,1516,631.5
1,2987,1751.5,1,5668,1190,2,1763,1498.666667,1,1309,631.5
1,2305,3828,2,5418,795,4,2096,1552,1,1287,474.3333333
1,1931,3956,2,5419,795,3,2421,1552,1,1313,474.3333333
1,2976,3922,1,6033,925.5,2,2876,1552,1,1380,474.3333333
1,3725,3715,1,6470,925.5,2,3585,1578.666667,1,1443,905
1,4296,1816,1,7338,1037,3,4182,1578.666667,1,1567,905
2,4610,1816,1,6799,1037,3,4787,1578.666667,1,1734,1100.5
3,4861,1823.5,1,6575,1253.5,4,5434,1587,1,1823,1100.5
1,4173,1823.5,1,6284,1253.5,3,5980,1587,1,2111,1327.5
1,3586,1782,1,5740,1194,3,6542,1587,1,2280,1327.5
1,3370,1782,1,5094,1194,4,7065,2406.5,1,2502,1574.5
2,2734,1918,1,4474,1233,3,7494,2406.5,1,2706,1574.5
1,2611,1918,1,4224,1233,2,7772,2434.5,1,2842,1782
2,2942,3590,1,1469,1191,2,7873,2434.5,1,3005,1782
2,2893,1262,1,1366,1116,2,7851,4967,1,3167,1982
1,3374,1262,1,2369,1055,1,7645,5155,1,3207,1982
1,999,2113,1,3462,32,2,7420,5363,1,3227,2143
2,750,1944,2,4023,20,2,7106,2856.5,1,3164,2143
1,1022,2237,2,4572,96,1,6774,2856.5,1,3102,4640
1,1375,2388,1,4669,341,1,6476,5705,1,517,4831
2,1948,1390.5,1,5046,911,1,6081,5695,1,516,5049
2,2079,1390.5,2,5169,1597,1,5641,1893.666667,1,542,2566
3,2370,1065,1,5198,2506,1,5302,1893.666667,1,619,2566
2,2691,1065,1,4572,3335,1,3890,1893.666667,1,732,2661
2,2955,1065,2,1084,4616,1,758,2733,1,942,2661
2,3324,1261.666667,3,1073,5885,2,858,2733,1,1236,2724
2,3584,1261.666667,1,1194,7262,3,951,2633.5,2,1536,2724
2,3749,1261.666667,1,1802,8718,4,1083,2633.5,1,1847,5585
2,3958,1083.5,1,2954,10302,4,1341,5071,1,2246,5497
1,3628,1083.5,1,4501,1541,4,1526,4950,1,2565,5507
2,3737,1083.5,1,5952,1748,4,1833,4678,3,2891,5450
2,4496,1083.5,1,7032,1942,4,2089,4346,1,3085,5354
2,4941,1226.5,2,8204,2352,3,2352,4043,2,3193,5241
2,5261,1226.5,1,9070,2637,2,2543,3672,2,3079,4964
1,5977,1226.5,2,10050,3009,2,2686,3375,2,2911,2355.5
1,6022,1226.5,2,11005,3557,3,2948,2989,1,2608,2355.5
1,7205,1431.75,2,11798,3784,3,3151,514,1,2452,4408
1,8453,1431.75,2,12253,1832,3,3402,520,1,2351,4014
1,9072,1431.75,1,11832,1832,2,3778,311,1,2264,3775
1,9141,1431.75,1,11488,3275,3,4210,311,1,2345,3537
1,9860,2191.333333,1,11376,999,2,4652,395.5,1,2329,2917
2,8802,2191.333333,1,10946,918,2,5073,395.5,1,2356,2802
1,8271,2191.333333,1,9784,1058,1,5164,339.6666667,2,2522,2720
1,7356,2472.666667,1,4554,1559,2,5349,339.6666667,1,2665,2420
1,6739,2472.666667,1,4858,1209.5,2,5583,339.6666667,2,2714,2465
1,5442,2472.666667,1,5607,1209.5,2,5714,434,2,2877,1233
1,4047,1901.75,1,6135,1804.5,2,5793,434,1,3021,1233
1,3766,1901.75,1,6531,1804.5,2,6173,434,1,3276,2458
1,3385,1901.75,1,6860,1536.666667,3,6460,546.3333333,2,3466,2529
1,3398,1901.75,2,1530,1536.666667,4,6722,546.3333333,1,3690,2519
1,3255,2593,2,1790,1536.666667,2,6833,546.3333333,1,3946,2714
1,2754,2593,2,2273,1919.333333,3,6790,704.3333333,1,4238,3113
1,2403,2593,2,3009,1919.333333,3,6497,704.3333333,1,4441,1706
1,2443,2518.333333,2,4217,1919.333333,3,6067,704.3333333,2,4710,1706
1,2692,2518.333333,3,5341,3310,3,5585,907.6666667,1,4945,734.2
1,2487,2518.333333,1,6320,3310,1,5202,907.6666667,2,5149,734.2
1,2516,6697,2,6433,3660,1,4880,907.6666667,1,5238,734.2
2,2285,4400,2,6717,3660,1,4570,1708,1,5446,734.2
1,2084,4041,2,7016,3641,1,4293,1708,2,5624,734.2
1,2008,3922,2,6930,3641,1,3979,2203.5,1,5723,1319
1,2467,1939.5,1,7142,7450,1,3705,2203.5,1,5737,1319
1,2390,1939.5,1,6468,7392,1,3469,2610,1,5731,1319
1,2122,1895.5,2,5653,7181,1,3317,2610,2,5669,1382.666667
1,1964,1895.5,2,4484,7466,1,3140,1991.666667,1,5591,1382.666667
2,1707,2623,1,3976,7043,1,2894,1991.666667,1,5435,1382.666667
2,1502,2855,1,3456,6990,1,2823,1991.666667,2,5293,2215.5
1,1208,3103,1,2741,6872,1,2552,2270,1,5166,2215.5
1,918,4036,1,2938,6740,1,2288,2270,1,2836,2315
1,877,5346,1,2837,3068,2,2124,2270,1,2674,2315
1,1000,6831,1,3448,3068,2,2049,1865.25,1,2517,1626.666667
1,1106,3768.5,1,4237,2809,2,1963,1865.25,2,2629,1626.666667
1,1109,3768.5,1,4983,2809,2,1917,1865.25,1,2668,1626.666667
1,802,4423,1,5814,4649,2,1861,1865.25,1,2775,2526
1,763,4423,1,6554,4517,2,1725,2656.333333,1,2957,2526
1,1091,4550,1,7695,2178.5,1,1603,2656.333333,1,3128,2633.5
1,1857,4550,1,8367,2178.5,1,1478,2656.333333,2,3315,2633.5
1,2579,4752,3,8973,4218,2,1398,2909.666667,2,3627,1840
2,3568,4752,2,8910,3991,2,1333,2909.666667,1,3921,1840
2,5084,4776,2,8987,3963,2,1323,2909.666667,2,4330,1840
2,6210,4776,2,8904,4173,2,1289,2998.666667,1,4691,1961
2,7345,2339.25,1,8411,5070,2,1262,2998.666667,2,5131,1961
3,8910,2339.25,1,8185,5615,1,1164,2998.666667,3,5298,1961
2,8417,2339.25,1,6294,6380,1,1148,3111.333333,3,5307,2073.333333
2,8134,2339.25,1,4820,7166,1,1109,3111.333333,3,5370,2073.333333
2,7970,4132.5,1,4325,7507,1,1098,3111.333333,3,5315,2073.333333
1,7414,4132.5,1,3701,7768,1,1100,4739.5,1,5180,3301
1,6665,7159,1,3140,7746,1,1028,4739.5,1,5036,3301
2,6007,6547,1,3178,7225,1,1026,4893,2,4954,7115
2,5499,5113,1,3378,6605,1,1042,4893,1,4715,7398
2,4840,1211,2,3666,6602,1,1046,5006.5,1,4581,7646
2,4853,1288,1,3270,6859,1,1174,5006.5,1,4371,7955
1,5185,1637,1,3851,2980.5,2,1549,7892,1,4202,8075
1,5209,1567,1,4601,2980.5,1,1014,6949,1,4031,8154
1,4322,790,1,4912,2721,1,1041,1526,1,3792,8308
1,4321,790,1,5054,2721,1,1058,686,1,3513,8198
2,2246,744,2,5015,5267,1,997,686,1,3292,8066
1,1836,744,1,5267,5222,1,957,1327,1,3168,1911
2,1688,739.5,2,5429,5706,1,879,434,1,3078,1940
1,1681,739.5,2,5897,5668,1,5354,434,1,3039,2035
2,2021,845.5,1,5744,2709,1,4708,434,1,3079,2218
1,2406,845.5,1,5164,2709,1,3999,655.5,1,3242,2350
1,3231,701.6666667,1,4677,2709.5,1,3416,655.5,1,3356,2451
1,4423,701.6666667,1,4142,2709.5,1,2967,685.5,1,3577,2191
1,5381,701.6666667,1,4544,6033,1,1642,685.5,1,3833,1012.5
1,6601,966.6666667,1,4625,6470,1,1399,1433,2,4287,1012.5
2,7384,966.6666667,1,4996,7338,1,1244,809,2,4783,1848
2,7918,966.6666667,2,5265,6799,1,1163,809,2,5308,892.5
1,8597,1392.666667,1,4131,6575,1,1228,1742,2,5906,892.5
1,9023,1392.666667,1,4222,6284,3,1344,1839,2,6547,1801
1,8534,1392.666667,1,4996,5740,3,1450,1985,3,7178,952.5
2,8372,1845.333333,2,4876,5094,2,1506,2146,2,7843,952.5
1,6937,1845.333333,1,5004,4474,3,1585,1171,2,8475,2056
1,6491,1845.333333,1,4678,4224,3,1672,1171,2,8988,2179
1,24,2066,1,4912,1469,2,1816,2596,1,9471,2441
1,85,2066,1,2634,1366,2,1885,2873,1,9712,2715
1,325,2066,2,3301,2369,2,2000,3158,2,9889,3059
1,854,3311,2,4431,3462,2,2116,3412,2,9689,3484
1,1526,3311,2,5332,2011.5,2,2250,3592,1,9621,3806
1,2546,3430,2,6373,2011.5,2,2368,3861,1,9405,4137
1,3626,3430,2,6972,2286,2,2558,4078,1,6260,4296
1,5243,7019,1,7125,2286,4,2852,4356,1,5779,4533
1,6915,6838,1,6953,4669,3,3070,4620,2,5416,4742
1,8818,6961,2,6411,5046,3,3257,2411,2,5196,4950
1,987,6891,3,6097,2584.5,3,3324,2411,2,5234,5077
1,806,6199,2,3795,2584.5,3,3211,2515,2,5470,5159
1,1039,5639,2,4037,5198,2,3212,2515,2,5917,4034
1,1142,4650,2,4027,4572,3,3222,5155,2,6398,3804
