time_step,generation_time,drive_frequency
265,2.06911,0.598966
266,2.16031,0.607143
267,2.0446,0.602035
268,2.19767,0.59538
269,2.16016,0.597826
270,2.05907,0.595702
271,1.98712,0.588407
272,1.84314,0.58569
273,1.95588,0.558543
274,2.13131,0.533195
275,2.05221,0.525306
276,1.90309,0.527071
277,1.98289,0.524749
278,2.05244,0.533333
279,2.09728,0.519104
280,1.98897,0.520045
281,1.97112,0.52214
282,2.0117,0.514977
283,1.85968,0.514096
284,1.94393,0.509245
285,1.99042,0.52609
286,1.98878,0.508982
287,1.99292,0.498767
288,1.87995,0.504447
289,1.85399,0.490961
290,2.01148,0.487799
291,1.98694,0.477473
292,1.9226,0.479816
293,1.92783,0.472724
294,1.92179,0.469588
295,1.96465,0.455133
296,1.92179,0.460989
297,1.91308,0.462208
298,1.9302,0.457971
299,1.94407,0.472819
300,1.95027,0.484398
301,1.96014,0.492507
302,1.94043,0.494313
303,2.01124,0.497814
304,2.01423,0.500386
305,1.94599,0.503783
306,1.94832,0.504113
307,1.93275,0.484371
308,1.89896,0.454655
309,1.89469,0.424863
310,1.90305,0.402641
311,1.87765,0.39275
312,1.95126,0.387567
313,1.93694,0.382231
314,1.89903,0.368868
315,1.88627,0.364867
316,1.96666,0.364381
317,1.97824,0.363114
318,2.01827,0.367799
319,1.96042,0.365415
320,1.93522,0.365278
321,1.93235,0.374483
322,1.96855,0.380383
323,1.99153,0.392127
324,1.96845,0.401212
325,2.03793,0.41663
326,1.99479,0.428676
327,2.02569,0.444043
328,2.00843,0.469561
329,2.09031,0.485002
330,2.08949,0.49834
331,2.07706,0.516215
332,2.03799,0.522392
333,2.13559,0.533884
334,2.01188,0.546114
335,2.1005,0.566104
336,2.04124,0.584861
337,2.09619,0.60238
338,2.1057,0.61998
339,2.16033,0.629455
340,2.12987,0.628027
341,2.1185,0.626584
342,2.22822,0.614119
343,2.07404,0.61954
344,2.2004,0.62596
345,1.96472,0.628081
346,2.10864,0.626018
347,2.19679,0.633381
348,2.21766,0.623007
349,2.18459,0.614407
350,2.09306,0.608426
351,2.18382,0.591214
352,1.95818,0.565217
353,1.99273,0.528894
354,1.96625,0.481928
355,1.95659,0.460526
356,1.99298,0.434284
357,1.88408,0.421854
358,2.07508,0.415199
359,1.91358,0.419198
360,1.9493,0.433968
361,1.97135,0.443354
362,2.03761,0.430207
363,2.01504,0.430809
364,1.95842,0.42791
365,1.84809,0.430284
366,1.8796,0.435253
367,1.91182,0.421498
368,1.93766,0.402443
369,1.90189,0.39302
370,1.87707,0.383873
371,1.93424,0.370196
372,1.88375,0.350551
373,1.90497,0.336025
374,1.93966,0.324913
375,1.92279,0.328154
376,1.94354,0.330916
377,1.93011,0.336576
378,1.97751,0.345338
379,1.98228,0.359548
380,1.89806,0.370557
381,1.9241,0.377587
382,2.04944,0.383034
383,2.02532,0.384057
384,1.95761,0.383319
385,1.96924,0.389372
386,1.95101,0.396298
387,2.02421,0.404968
388,1.98431,0.421176
389,2.02197,0.427591
390,2.04425,0.438092
391,2.05094,0.44455
392,2.01744,0.446501
393,1.98147,0.447335
394,2.03007,0.452827
395,2.03771,0.446709
396,2.00293,0.444664
397,1.98957,0.455607
398,2.03453,0.467182
399,2.01051,0.48756
400,2.05709,0.505588
401,2.07934,0.517677
402,2.10884,0.528001
403,2.07499,0.539406
404,2.06034,0.561753
405,2.16425,0.568024
406,2.18798,0.573039
407,2.0816,0.572419
408,2.05636,0.573026
409,2.05505,0.576338
410,2.07287,0.585479
411,2.05279,0.591894
412,2.13589,0.586634
413,2.10212,0.571406
414,2.06289,0.568954
415,2.02019,0.548365
416,1.97774,0.533469
417,1.97883,0.523461
418,1.93539,0.517045
419,1.94252,0.510715
420,1.99276,0.496704
421,1.9179,0.51012
422,1.9776,0.505517
423,1.99668,0.505666
424,1.92075,0.513495
425,1.96662,0.511655
426,1.99051,0.515983
427,2.04014,0.512266
428,1.94436,0.494558
429,1.98635,0.478863
430,2,0.467288
431,1.95754,0.467312
432,1.98082,0.464822
433,2.07651,0.463885
434,2.05941,0.466832
435,1.97091,0.463483
436,2.06039,0.458333
437,2.00157,0.46299
438,2.02944,0.472778
439,2.05841,0.489098
440,2.04278,0.503386
441,2.03371,0.516846
442,2.04293,0.539812
443,2.06457,0.545909
444,1.95861,0.550697
445,2.09572,0.559188
446,2.167,0.560228
447,2.03684,0.566852
448,2.14331,0.580703
449,2.12059,0.590635
450,2.12709,0.595173
451,2.11276,0.595792
452,2.06512,0.589543
453,2.1205,0.586466
454,2.08079,0.590318
455,2.13748,0.589476
456,2.0678,0.577974
457,2.12602,0.572792
458,1.96236,0.545734
459,2.09238,0.526933
460,1.90588,0.503911
461,1.91198,0.477941
462,2.00472,0.457073
463,1.77983,0.44084
464,1.81468,0.443008
465,1.82965,0.425484
466,1.81457,0.398151
467,1.73876,0.389265
468,1.85764,0.389786
469,1.88287,0.404988
470,1.96875,0.418528
471,1.94404,0.41078
472,2.02018,0.414201
473,1.88538,0.415062
474,1.87512,0.426199
475,1.943,0.422626
476,1.9444,0.421515
477,1.94188,0.423681
478,1.95245,0.438795
479,1.98265,0.454082
480,2.0065,0.463946
481,1.98246,0.47725
482,2.06142,0.483803
483,1.97747,0.49329
484,2.04914,0.501015
485,2.05016,0.508311
486,2.01923,0.509078
487,2.07497,0.51397
488,2.0564,0.523975
489,2.05537,0.540867
490,2.0865,0.552744
491,2.08256,0.564783
492,2.06673,0.569066
493,2.0662,0.575204
494,2.1047,0.583438
495,2.08984,0.59032
496,2.06907,0.590974
497,2.05662,0.592447
498,2.15451,0.593923
499,2.02554,0.598651
500,2.01275,0.594084
501,2.07414,0.578964
502,2.04983,0.57792
503,2.15428,0.574449
504,2.12991,0.573612
505,2.18114,0.579944
506,1.96811,0.575434
507,2.11111,0.566294
508,2.02375,0.563665
509,2.05769,0.571086
510,2.01549,0.563847
511,1.99849,0.577384
512,2.11935,0.579042
513,2.15211,0.578449
514,1.92188,0.572596
515,1.92445,0.542391
516,2.06344,0.50494
517,1.98774,0.466596
518,2.02128,0.442513
519,1.92521,0.435232
520,1.80994,0.433999
521,1.83961,0.44635
522,1.92161,0.458143
523,2.01508,0.473889
524,1.98486,0.481542
525,2.01085,0.481185
526,1.97814,0.470061
527,1.95297,0.476782
528,2.00262,0.48405
529,2.10252,0.492403
530,2.10292,0.518307
531,2.05571,0.533644
532,2.03067,0.554371
533,2.16864,0.564689
534,2.13333,0.576278
535,2.14022,0.585085
536,2.05499,0.585587
537,1.98878,0.570231
538,2.10349,0.561762
539,2.06056,0.543292
540,2.04993,0.542948
541,2.00378,0.559331
542,2.07712,0.568587
543,1.98997,0.576149
544,2.03546,0.592382
545,2.12353,0.603907
546,2.03549,0.613056
547,2.03624,0.610905
548,2.10517,0.612285
549,2.16635,0.614085
550,2.01663,0.598746
551,2.12249,0.602016
552,1.9619,0.598985
553,2.04721,0.592308
554,2.10966,0.579907
555,2.00806,0.55
556,1.94023,0.53119
557,1.8412,0.508903
558,1.99208,0.506014
559,1.9329,0.483206
560,1.72222,0.448175
561,1.89593,0.427744
562,1.92635,0.419808
563,1.87293,0.428906
564,1.88116,0.450935
565,2.0041,0.467489
566,2,0.469183
567,1.99094,0.486616
568,1.94766,0.487692
569,2.00745,0.494737
570,2.0203,0.507085
571,2.0235,0.503407
572,2.03893,0.520131
573,2.04505,0.517226
574,1.93915,0.520917
575,2.03556,0.525851
576,1.98749,0.510584
577,1.94333,0.498495
578,2.00429,0.463737
579,1.88848,0.461493
580,1.90647,0.444592
581,2.00771,0.435119
582,1.91856,0.425802
583,1.88751,0.412186
584,1.93098,0.40829
585,1.97132,0.397908
586,1.90846,0.382535
587,1.9068,0.368945
588,1.88132,0.360945
589,1.9498,0.370504
590,1.97326,0.379287
591,1.86954,0.393563
592,1.93206,0.394276
593,2.00096,0.396606
594,1.89556,0.402534
595,1.88228,0.417449
596,2.03473,0.428398
597,2.03275,0.437829
598,1.95279,0.448894
599,1.98284,0.450213
600,2.0243,0.449622
601,2.0203,0.455656
602,1.90599,0.466049
603,2.05609,0.485926
604,2.08803,0.4896
605,1.98473,0.496406
606,2.01926,0.509337
607,2.03623,0.513738
608,2.07823,0.518613
609,2.02547,0.515916
610,2.03506,0.512062
611,2.03045,0.513444
612,2.01659,0.517411
613,1.95009,0.525743
614,2.01445,0.526916
615,2.05162,0.536779
616,2.13645,0.55407
617,2.04414,0.559961
618,2.03191,0.563479
619,2.04973,0.566913
620,2.01032,0.564004
621,2.0694,0.560824
622,1.96595,0.565286
